1097	707200
1098	702165
1099	707031
1100	710503
1101	709436
1102	706192
1103	705538
1104	704132
1105	709436
1106	703083
1107	710177
1108	709436
1109	706252
1110	709436
1111	700196
1112	707031
1113	710177
1114	709436
1115	710438
1116	709436
1117	709844
1118	707031
1119	700209
1120	702165
1121	710844
1122	709436
1123	700222
1124	709725
1125	712867
1126	707084
1127	702165
1128	707031
1129	710177
1130	709781
1131	703912
1132	707084
1133	702165
1134	700222
1135	714070
1136	705851
1137	709858
1138	709666
1139	702165
1140	707031
1141	707084
1142	700222
1143	709666
1144	710177
1145	709436
1146	707934
1147	707031
1148	710177
1149	709436
1150	710438
1151	709436
1152	709844
1153	707031
1154	710177
1155	709436
1156	706252
1157	709436
1158	700196
1159	709436
1160	703303
1161	700222
1162	709805
1163	705676
1164	702748
1165	709626
1166	702165
1167	707031
1168	705083
1169	709436
1170	706192
1171	704314
1172	705080
1173	709436
1174	700222
1175	707031
1176	713182
1177	707031
1178	708076
1179	704106
1180	709436
1181	710524
1182	702165
1183	707031
1184	701035
1185	711537
1186	701227
1187	702165
1188	707031
1189	709509
1190	707996
1191	709436
1192	706192
1193	709436
1194	710524
1195	709781
1196	708076
1197	701425
1198	709436
1199	700222
1200	704105
1201	703209
1202	707031
1203	700209
1204	702165
1205	710844
1206	709436
1207	700222
1208	707031
1209	705373
1210	700222
1211	709858
1212	709384
1213	709792
1214	704132
1215	709436
1216	709792
1217	709032
1218	707031
1219	711537
1220	704132
1221	709436
1222	711537
1223	709032
1224	709858
1225	707084
1226	703209
1227	709803
1228	704132
1229	709436
1230	701150
1231	702165
1232	708076
1233	709858
1234	704709
1235	709858
1236	707305
1237	701163
1238	709436
1239	710189
1240	702165
1241	707031
1242	709436
1243	708892
1244	702165
1245	707031
1246	710921
1247	710844
1248	709436
1249	703209
1250	702165
1251	707031
1252	704093
1253	709436
1254	703849
1255	704105
1256	711537
1257	704106
1258	707031
1259	704093
1260	709436
1261	703849
1262	703202
1263	709781
1264	712751
1265	700222
1266	707031
1267	709436
1268	703209
1269	702165
1270	707031
1271	709805
1272	700485
1273	709436
1274	703303
1275	709875
1276	704093
1277	713589
1278	710177
1279	709436
1280	706252
1281	709436
1282	705080
1283	709436
1284	703083
1285	709781
1286	710582
1287	707996
1288	709436
1289	706192
1290	707031
1291	705373
1292	709436
1293	709875
1294	709436
1295	703209
1296	712867
1297	709803
1298	705373
1299	709436
1300	706192
1301	709805
1302	708851
1303	705495
1304	701425
1305	710177
1306	709427
1307	709436
1308	704639
1309	709436
1310	710012
1311	707031
1312	705373
1313	709436
1314	703209
1315	709436
1316	709875
1317	701425
1318	707169
1319	709427
1320	709436
1321	710012
1322	705495
1323	701425
1324	703303
1325	707169
1326	709436
1327	709427
1328	709781
1329	704093
1330	704639
1331	708768
1332	709436
1333	710012
1334	705373
1335	709436
1336	706192
1337	709805
1338	705495
1339	701425
1340	702165
1341	709816
1342	708851
1343	701654
1344	702165
1345	706747
1346	708851
1347	701461
1348	707031
1349	705373
1350	709436
1351	709875
1352	709436
1353	703209
1354	709805
1355	706096
1356	701461
1357	704075
1358	702963
1359	709436
1360	706192
1361	709803
1362	704639
1363	709781
1364	700900
1365	705984
1366	705495
1367	701425
1368	702165
1369	703532
1370	713091
1371	709436
1372	709870
1373	707031
1374	704093
1375	714148
1376	706192
1377	703105
1378	707097
1379	707031
1380	710660
1381	707031
1382	709725
1383	709436
1384	703209
1385	709803
1386	707097
1387	709436
1388	709427
1389	704105
1390	702825
1391	707031
1392	709803
1393	701723
1394	709436
1395	709870
1396	709725
1397	707031
1398	714132
1399	704093
1400	709436
1401	707341
1402	707031
1403	708076
1404	709436
1405	707169
1406	702165
1407	705495
1408	707031
1409	703654
1410	707031
1411	709436
1412	701150
1413	702165
1414	708780
1415	702165
1416	707031
1417	705495
1418	707031
1419	703532
1420	709436
1421	709870
1422	709436
1423	703849
1424	707031
1425	703105
1426	709803
1427	703202
1428	704093
1429	707031
1430	711185
1431	713622
1432	712254
1433	707031
1434	710582
1435	703917
1436	710316
1437	707031
1438	700587
1439	709436
1440	713640
1441	707996
1442	709436
1443	706192
1444	710362
1445	704639
1446	709436
1447	710012
1448	709436
1449	703322
1450	707031
1451	707923
1452	709781
1453	712751
1454	700222
1455	707031
1456	709436
1457	703209
1458	702165
1459	701425
1460	710986
1461	707996
1462	709436
1463	706192
1464	704639
1465	708768
1466	709436
1467	709427
1468	709436
1469	710012
1470	707031
1471	707084
1472	707996
1473	709436
1474	706192
1475	709436
1476	700222
1477	707031
1478	705373
1479	702165
1480	700222
1481	710706
1482	704093
1483	707031
1484	705373
1485	702165
1486	709436
1487	713640
1488	711945
1489	700587
1490	710362
1491	704639
1492	709436
1493	710012
1494	707031
1495	713532
1496	709803
1497	703202
1498	704093
1499	707031
1500	707923
1501	707031
1502	705373
1503	702165
1504	712867
1505	700921
1506	711925
1507	709803
1508	703202
1509	704093
1510	708851
1511	701425
1512	709436
1513	709427
1514	709806
1515	704791
1516	711925
1517	709858
1518	709003
1519	708851
1520	705495
1521	701425
1522	702165
1523	705495
1524	707031
1525	705373
1526	709436
1527	700222
1528	709436
1529	703209
1530	709781
1531	703654
1532	708780
1533	704580
1534	709858
1535	708974
1536	703654
1537	701425
1538	709436
1539	709427
1540	707031
1541	705495
1542	707031
1543	705373
1544	707996
1545	709436
1546	706192
1547	709436
1548	703209
1549	712867
1550	709858
1551	710582
1552	707031
1553	705373
1554	709436
1555	703209
1556	709436
1557	709875
1558	701364
1559	708618
1560	707031
1561	705495
1562	707031
1563	705373
1564	707996
1565	709436
