identifier	file	bytes
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-03-Esther_djvu.txt	462823
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-04-Job_djvu.txt	923376
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-05-Psalms_djvu.txt	2591027
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-06-Proverbs_djvu.txt	588379
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-07-Ecclesiastes_djvu.txt	230152
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_Testamentum_Graecum_cum_variis_lec-vol3-08-Canticum_djvu.txt	102426
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_testamentum_graecum_cum_variis_lec-vol4-01-Isaiah_djvu.txt	1655601
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_testamentum_graecum_cum_variis_lec-vol4-02-Jeremiah_djvu.txt	1989978
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_testamentum_graecum_cum_variis_lec-vol4-03-Lamentation_djvu.txt	159822
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_testamentum_graecum_cum_variis_lec-vol4-04-Ezekiel_djvu.txt	1662987
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_testamentum_graecum_cum_variis_lec-vol4-05-Daniel_djvu.txt	1159439
VetusTestamentumGraecumCumVariisLecVol101Genesis	Vetus_testamentum_graecum_cum_variis_lec-vol4-06-MinorProphets_djvu.txt	1558753
walton_polyglot	1 Walton Polyglot Genesis-Leviticus_djvu.txt	4673508
walton_polyglot	1_gen-deutInColor_djvu.txt	8488460
walton_polyglot	2 Walton Polyglot Leviticus-Judges_djvu.txt	4627440
walton_polyglot	3 Walton Polyglot Numbers-Deut-Gospels_djvu.txt	4296315
walton_polyglot	4 Walton Polyglot Judges-IVKings_djvu.txt	4526944
walton_polyglot	5 Walton Polyglot IVKings-Psalms_djvu.txt	3930359
walton_polyglot	6 Walton Polyglot Psalms-Jeremiah_djvu.txt	5249739
walton_polyglot	7 Walton Polyglot Jeremiah-Ecclesiasticus_djvu.txt	5092240
walton_polyglot	8 WaltPoly8_Ecclesiasticus-Maccabees_djvu.txt	4537425
Walton-Polyglot	Merge copy_djvu.txt	4305057
WaltPoly1PrologVariantReadings	WaltPoly10_John-Rev_djvu.txt	1594690
WaltPoly1PrologVariantReadings	WaltPoly1_Prolog&VariantReadings)_djvu.txt	3352436
WaltPoly1PrologVariantReadings	WaltPoly2_Genesis-Leviticus)_djvu.txt	61713
WaltPoly1PrologVariantReadings	WaltPoly3_Leviticus-Judges)_djvu.txt	4081963
WaltPoly1PrologVariantReadings	WaltPoly4_Judges-IVKings)_djvu.txt	436240
WaltPoly1PrologVariantReadings	WaltPoly5_IVKings-Psalms)_djvu.txt	571399
WaltPoly1PrologVariantReadings	WaltPoly6_Psalms-Jeremiah)_djvu.txt	888655
WaltPoly1PrologVariantReadings	WaltPoly7_Jeremiah-Ecclesiasticus)_djvu.txt	1312240
WaltPoly1PrologVariantReadings	WaltPoly8_Ecclesiasticus-Maccabees_djvu.txt	988895
WaltPoly1PrologVariantReadings	WaltPoly9_Numbers-Deut-Gospels)_djvu.txt	1663162
wisdomofbensirap00scheuoft	wisdomofbensirap00scheuoft_djvu.txt	421366
