283	E70036	verb.qal.wayq.p3.m.sg	[he]+ make
284	E70004	subs.m.pl.a	god [pl.]
285	E70005	prep	[object marker]
286	E70063	subs.u.du.c	two
287	E70006	art	the
288	E70058	subs.m.pl.a	lamp
289	E70006	art	the
290	E70064	adjv.m.pl.a	great
291	E70005	prep	[object marker]
292	E70006	art	the
293	E70058	subs.m.sg.a	lamp
294	E70006	art	the
295	E70064	adjv.m.sg.a	great
296	E70028	prep	to
297	E70065	subs.f.sg.c	dominion
298	E70006	art	the
299	E70029	subs.m.sg.a	day
300	E70008	conj	and
301	E70005	prep	[object marker]
302	E70006	art	the
303	E70058	subs.m.sg.a	lamp
304	E70006	art	the
305	E70066	adjv.m.sg.a	small
306	E70028	prep	to
307	E70065	subs.f.sg.c	dominion
308	E70006	art	the
309	E70030	subs.m.sg.a	night
310	E70008	conj	and
311	E70005	prep	[object marker]
312	E70006	art	the
313	E70067	subs.m.pl.a	star
314	E70008	conj	and
315	E70068	verb.qal.wayq.p3.m.sg	[he]+ give
316	E70005	prep＊.prs.p3.m.pl	[object marker] +[them]
317	E70004	subs.m.pl.a	god [pl.]
318	E70001	prep	in
319	E70034	subs.m.sg.c	firmament
320	E70006	art	the
321	E70007	subs.m.pl.a	heavens
322	E70028	prep	to
323	E70062	verb.hif.infc.u.u.u.a	be light
324	E70014	prep	upon
325	E70006	art	the
326	E70009	subs.u.sg.a	earth
327	E70008	conj	and
328	E70028	prep	to
329	E70069	verb.qal.infc.u.u.u.a	rule
330	E70001	prep	in
331	E70006	art	the
332	E70029	subs.m.sg.a	day
333	E70008	conj	and
334	E70001	prep	in
335	E70006	art	the
336	E70030	subs.m.sg.a	night
337	E70008	conj	and
338	E70028	prep	to
339	E70025	verb.hif.infc.u.u.u.a	separate
340	E70026	prep.m.sg.c	interval
341	E70006	art	the
342	E70021	subs.u.sg.a	light
343	E70008	conj	and
344	E70026	prep.m.sg.c	interval
345	E70006	art	the
346	E70013	subs.m.sg.a	darkness
347	E70008	conj	and
348	E70022	verb.qal.wayq.p3.m.sg	[he]+ see
349	E70004	subs.m.pl.a	god [pl.]
350	E70023	conj	that
351	E70024	verb.qal.perf.p3.m.sg	[he]+ be good
352	E70008	conj	and
353	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
354	E70031	subs.m.sg.a	evening
355	E70008	conj	and
356	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
357	E70032	subs.m.sg.a	morning
358	E70029	subs.m.sg.a	day
359	E70070	adjv.m.sg.a	fourth
360	E70008	conj	and
361	E70020	verb.qal.wayq.p3.m.sg	[he]+ say
362	E70004	subs.m.pl.a	god [pl.]
363	E70071	verb.qal.impf.p3.m.pl	[they]+ swarm
364	E70006	art	the
365	E70019	subs.m.pl.a	water
366	E70072	subs.m.sg.c	swarming creatures
367	E70073	subs.f.sg.a	soul
368	E70074	adjv.f.sg.a	alive
369	E70008	conj	and
370	E70075	subs.m.sg.a	birds
371	E70076	verb.piel.impf.p3.m.sg	[he]+ fly
372	E70014	prep	upon
373	E70006	art	the
374	E70009	subs.u.sg.a	earth
375	E70014	prep	upon
376	E70015	subs.m.pl.c	face
377	E70034	subs.m.sg.c	firmament
378	E70006	art	the
379	E70007	subs.m.pl.a	heavens
380	E70008	conj	and
381	E70003	verb.qal.wayq.p3.m.sg	[he]+ create
382	E70004	subs.m.pl.a	god [pl.]
383	E70005	prep	[object marker]
384	E70006	art	the
385	E70077	subs.m.pl.a	sea-monster
386	E70006	art	the
387	E70064	adjv.m.pl.a	great
388	E70008	conj	and
389	E70005	prep	[object marker]
390	E70078	subs.m.sg.c	whole
391	E70073	subs.f.sg.a	soul
392	E70006	conj	the
393	E70074	adjv.f.sg.a	alive
394	E70006	conj	the
395	E70079	verb.qal.ptca.u.f.sg.a	creep
396	E70037	conj	[relative]
397	E70071	verb.qal.perf.p3.u.pl	[they]+ swarm
398	E70006	art	the
399	E70019	subs.m.pl.a	water
400	E70028	prep	to
401	E70055	subs.m.sg.a＊.prs.p3.m.pl	+[their] kind
402	E70008	conj	and
403	E70005	prep	[object marker]
404	E70078	subs.m.sg.c	whole
405	E70075	subs.m.sg.a	birds
406	E70080	subs.f.sg.a	wing
407	E70028	prep	to
408	E70055	subs.m.sg.a＊.prs.p3.m.sg	+[his] kind
409	E70008	conj	and
410	E70022	verb.qal.wayq.p3.m.sg	[he]+ see
411	E70004	subs.m.pl.a	god [pl.]
412	E70023	conj	that
413	E70024	verb.qal.perf.p3.m.sg	[he]+ be good
414	E70008	conj	and
415	E70081	verb.piel.wayq.p3.m.sg	[he]+ bless
416	E70005	prep＊.prs.p3.m.pl	[object marker] +[them]
417	E70004	subs.m.pl.a	god [pl.]
418	E70028	prep	to
419	E70020	verb.qal.infc.u.u.u.a	say
420	E70082	verb.qal.impv.p2.m.pl	[you]+ be fertile
421	E70008	conj	and
422	E70083	verb.qal.impv.p2.m.pl	[you]+ be many
423	E70008	conj	and
424	E70084	verb.qal.impv.p2.m.pl	[you]+ be full
425	E70005	prep	[object marker]
426	E70006	art	the
427	E70019	subs.m.pl.a	water
428	E70001	prep	in
429	E70006	art	the
430	E70047	subs.m.pl.a	sea
431	E70008	conj	and
432	E70006	art	the
433	E70075	subs.m.sg.a	birds
434	E70083	verb.qal.impf.p3.m.sg	[he]+ be many
435	E70001	prep	in
436	E70006	art	the
437	E70009	subs.u.sg.a	earth
438	E70008	conj	and
439	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
440	E70031	subs.m.sg.a	evening
441	E70008	conj	and
442	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
443	E70032	subs.m.sg.a	morning
444	E70029	subs.m.sg.a	day
445	E70085	adjv.m.sg.a	fifth
446	E70008	conj	and
447	E70020	verb.qal.wayq.p3.m.sg	[he]+ say
448	E70004	subs.m.pl.a	god [pl.]
449	E70056	verb.hif.impf.p3.f.sg	[she]+ go out
450	E70006	art	the
451	E70009	subs.u.sg.a	earth
452	E70073	subs.f.sg.a	soul
453	E70074	adjv.f.sg.a	alive
454	E70028	prep	to
455	E70055	subs.m.sg.a＊.prs.p3.f.sg	+[her] kind
456	E70086	subs.f.sg.a	cattle
457	E70008	conj	and
458	E70087	subs.m.sg.a	creeping animals
459	E70008	conj	and
460	E70088	subs.f.sg.c	wild animal
461	E70009	subs.u.sg.a	earth
462	E70028	prep	to
463	E70055	subs.m.sg.a＊.prs.p3.f.sg	+[her] kind
464	E70008	conj	and
465	E70010	verb.qal.wayq.p3.m.sg	[he]+ be
466	E70040	advb	thus
467	E70008	conj	and
468	E70036	verb.qal.wayq.p3.m.sg	[he]+ make
469	E70004	subs.m.pl.a	god [pl.]
470	E70005	prep	[object marker]
471	E70088	subs.f.sg.c	wild animal
472	E70006	art	the
473	E70009	subs.u.sg.a	earth
474	E70028	prep	to
475	E70055	subs.m.sg.a＊.prs.p3.f.sg	+[her] kind
476	E70008	conj	and
477	E70005	prep	[object marker]
478	E70006	art	the
479	E70086	subs.f.sg.a	cattle
480	E70028	prep	to
481	E70055	subs.m.sg.a＊.prs.p3.f.sg	+[her] kind
482	E70008	conj	and
483	E70005	prep	[object marker]
484	E70078	subs.m.sg.c	whole
485	E70087	subs.m.sg.c	creeping animals
486	E70006	art	the
487	E70089	subs.f.sg.a	soil
488	E70028	prep	to
489	E70055	subs.m.sg.a＊.prs.p3.m.sg	+[his] kind
490	E70008	conj	and
491	E70022	verb.qal.wayq.p3.m.sg	[he]+ see
