L700033	Αβδιηλ	abdiēl [avðiyiyl]	Np [Proper Noun]	Abdiēl; Avthil	<grk>Αβδιηλ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>
L700034	Αβδιου	abdiou [avðiyu]	Np [Proper Noun]	Abdiou; Avthiu	<grk>Αβδιου</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβδιου</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβδιου</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700035	Αβδων	abdōn [avðon]	Np [Proper Noun]	Abdōn; Avthon	<grk>Αβδων</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβδων</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700036	Αβεδ	abed [aveð]	Np [Proper Noun]	Abed; Aveth	<grk>Αβεδ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβεδ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700037	Αβεδδαρα	abeddara [aveððara]	Np [Proper Noun]	Abeddara; Aveththara	<grk>Αβεδδαρα</grk>｜<font color='4'>N.GS</font>｜<i>noun, Gen Sing</i><br><grk>Αβεδδαρα</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>
L700038	Αβεδδαραμ	abeddaram [aveððaram]	Np [Proper Noun]	Abeddaram; Aveththaram	<grk>Αβεδδαραμ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i>
L700039	αβεδηριν	abedērin [aveðiyriyn]	N [Noun]	words; records	<grk>αβεδηριν</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i>
L700040	Ἄβελ	abel [avel]	Np [Proper Noun]	Abel; Avel	<a href='S:G6'><grk>Ἄβελ</grk></a>; <big>הֶבֶל</big>&#x200E;<hr><grk>Αβελ</grk>｜<font color='4'>N.AS</font>｜<i>noun, Acc Sing</i><br><grk>Αβελ</grk>｜<font color='4'>N.ASF</font>｜<i>noun, Acc Sing Fem</i><br><grk>Αβελ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβελ</grk>｜<font color='4'>N.DSF</font>｜<i>noun, Dat Sing Fem</i><br><grk>Αβελ</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβελ</grk>｜<font color='4'>N.GS</font>｜<i>noun, Gen Sing</i><br><grk>Αβελ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβελ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700041	Αβελβαιθαμααχα	abelbaithamaacha [avelveθamaakha]	Np [Proper Noun]	Abelbaithamaacha; Avelvethamaakha	<grk>Αβελβαιθαμααχα</grk>｜<font color='4'>N.ASF</font>｜<i>noun, Acc Sing Fem</i>
L700042	Αβελμαα	abelmaa [avelmaa]	Np [Proper Noun]	Abelmaa; Avelmaa	<grk>Αβελμαα</grk>｜<font color='4'>N.ASF</font>｜<i>noun, Acc Sing Fem</i>
L700043	Αβελμαιν	abelmain [avelmen]	Np [Proper Noun]	Abelmain; Avelmen	<grk>Αβελμαιν</grk>｜<font color='4'>N.ASF</font>｜<i>noun, Acc Sing Fem</i>
L700044	Αβελμαουλα	abelmaoula [avelmaula]	Np [Proper Noun]	Abelmaoula; Avelmaula	<grk>Αβελμαουλα</grk>｜<font color='4'>N.GS</font>｜<i>noun, Gen Sing</i>
L700045	Αβελμεουλα	abelmeoula [avelmeula]	Np [Proper Noun]	Abelmeoula; Avelmeula	<grk>Αβελμεουλα</grk>｜<font color='4'>N.GS</font>｜<i>noun, Gen Sing</i>
L700046	Αβενεζερ	abenezer [avenezer]	Np [Proper Noun]	Abenezer; Avenezer	<grk>Αβενεζερ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβενεζερ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>
L700047	Αβεννεζερ	abennezer [avennezer]	Np [Proper Noun]	Abennezer; Avennezer	<grk>Αβεννεζερ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i>
L700048	Αβεννερ	abenner [avenner]	Np [Proper Noun]	Abenner; Avenner	<grk>Αβεννερ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700049	Αβεννηρ	abennēr [avenniyr]	Np [Proper Noun]	Abennēr; Avennir	<grk>Αβεννηρ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβεννηρ</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβεννηρ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβεννηρ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700050	Αβερ	aber [aver]	Np [Proper Noun]	Aber; Aver	<grk>Αβερ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i>
L700051	Αβεσσα	abessa [avessa]	Np [Proper Noun]	Abessa; Avessa	<grk>Αβεσσα</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβεσσα</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβεσσα</grk>｜<font color='4'>N.GS</font>｜<i>noun, Gen Sing</i><br><grk>Αβεσσα</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβεσσα</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
L700052	Αβεσσαλωμ	abessalōm [avessalom]	Np [Proper Noun]	Abessalōm; Avessalom	<grk>Αβεσσαλωμ</grk>｜<font color='4'>N.ASM</font>｜<i>noun, Acc Sing Masc</i><br><grk>Αβεσσαλωμ</grk>｜<font color='4'>N.DSM</font>｜<i>noun, Dat Sing Masc</i><br><grk>Αβεσσαλωμ</grk>｜<font color='4'>N.GSM</font>｜<i>noun, Gen Sing Masc</i><br><grk>Αβεσσαλωμ</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i><br><grk>Αβεσσαλωμ</grk>｜<font color='4'>N.VSM</font>｜<i>noun, Voc Sing Masc</i>
L700053	Αβι	abi [aviy]	Np [Proper Noun]	Abi; Avi	<grk>Αβι</grk>｜<font color='4'>N.NSM</font>｜<i>noun, Nom Sing Masc</i>
