mappingSort	KJVverseID	WLCsort	BHSsort
639	49	1139	1002
640	49	1140	1004
641	49	1141	1006
642	49	1142	1007
643	49	1144	1009
644	49	1145	1011
645	50	1156	1013
646	50	1157	1014
647	50	1158	1015
648	50	1160	1018
649	50	1161	1019
650	50	1162	1020
651	50	1163	1022
652	50	1164	1024
653	50	1165	1025
654	50	1166	1026
655	50	1167	1028
656	50	1168	1030
657	50	1169	1031
658	50	1170	1033
659	50	1171	1035
660	50	1172	1036
661	50	1173	1037
662	50	1175	1040
663	50	1176	1041
664	50	1177	1042
665	50	1179	1045
666	50	1180	1046
667	50	1181	1047
668	50	1182	1048
669	50	1183	1049
670	51	1194	1051
671	51	1195	1053
672	51	1196	1054
673	51	1197	1056
674	51	1198	1058
675	51	1199	1061
676	51	1200	1063
677	51	1201	1066
678	51	1202	1067
679	51	1203	1069
680	51	1204	1072
681	51	1205	1073
682	51	1206	1074
683	51	1207	1075
684	51	1208	1077
685	52	1219	1079
686	52	1220	1080
687	52	1221	1081
688	52	1222	1082
689	52	1223	1083
690	52	1224	1085
691	52	1225	1087
692	52	1226	1089
693	52	1227	1090
694	52	1228	1092
695	52	1229	1094
696	52	1230	1095
697	52	1231	1096
698	53	1242	1098
699	53	1243	1099
700	53	1244	1100
701	53	1245	1101
702	53	1246	1103
703	53	1247	1104
704	53	1248	1105
705	53	1250	1108
706	53	1251	1110
707	53	1252	1112
708	53	1253	1113
709	53	1254	1115
710	54	1265	1117
711	54	1266	1119
712	54	1267	1120
713	54	1268	1122
714	54	1269	1123
715	54	1270	1125
716	54	1271	1127
717	54	1272	1129
718	54	1273	1131
719	54	1274	1132
720	54	1275	1133
721	54	1276	1134
722	54	1277	1136
723	54	1278	1137
724	54	1279	1138
725	55	1290	1139
726	55	1291	1140
727	55	1292	1141
728	55	1293	1142
729	55	1294	1143
730	55	1295	1144
731	55	1296	1146
732	55	1297	1147
733	55	1298	1149
734	55	1299	1151
735	55	1300	1153
736	55	1301	1155
737	55	1302	1156
738	56	1313	1158
739	56	1314	1159
740	56	1315	1160
741	56	1316	1162
742	56	1317	1164
743	56	1318	1166
744	56	1319	1167
745	57	1330	1170
746	57	1331	1171
747	57	1332	1172
748	57	1333	1174
749	57	1334	1175
750	57	1335	1177
751	57	1336	1178
752	57	1337	1179
753	57	1338	1180
754	57	1339	1181
755	57	1340	1183
756	57	1341	1184
757	57	1342	1186
758	57	1343	1187
759	57	1344	1188
760	57	1345	1189
761	57	1346	1190
762	57	1347	1191
763	57	1348	1192
764	57	1349	1194
765	57	1350	1195
766	57	1351	1197
767	58	1362	1199
768	58	1363	1201
769	58	1364	1202
770	58	1365	1204
771	58	1366	1206
772	58	1367	1207
773	58	1368	1209
774	58	1369	1210
775	59	1380	1213
776	59	1381	1215
777	59	1382	1216
778	59	1383	1218
779	59	1384	1220
780	59	1385	1221
781	59	1386	1222
782	59	1387	1223
783	59	1388	1224
784	59	1390	1227
785	59	1391	1228
