G846	P-DSM	｛40.8.1｜40.8.1｝
G3793	N-NPM	｛40.8.1｜40.8.1｝
G4183	A-NPM	｛40.8.1｜40.8.1｝
G2532	CONJ	｛40.8.2｜40.8.2｝
G2400	INJ	｛40.8.2｜40.8.2｝
G3015	A-NSM	｛40.8.2｜40.8.2｝
G4334	V-2AAP-NSM	｛40.8.2｜40.8.2｝
G4352	V-IAI-3S	｛40.8.2｜40.8.2｝
G846	P-DSM	｛40.8.2｜40.8.2｝
G3004	V-PAP-NSM	｛40.8.2｜40.8.2｝
G2962	N-VSM	｛40.8.2｜40.8.2｝
G1437	CONJ	｛40.8.2｜40.8.2｝
G2309	V-PAS-2S	｛40.8.2｜40.8.2｝
G1410	V-PNI-2S	｛40.8.2｜40.8.2｝
G1473	P-1AS	｛40.8.2｜40.8.2｝
G2511	V-AAN	｛40.8.2｜40.8.2｝
G2532	CONJ	｛40.8.3｜40.8.3｝
G1614	V-AAP-NSM	｛40.8.3｜40.8.3｝
G3588	T-ASF	｛40.8.3｜40.8.3｝
G5495	N-ASF	｛40.8.3｜40.8.3｝
G681	V-ADI-3S	｛40.8.3｜40.8.3｝
G846	P-GSM	｛40.8.3｜40.8.3｝
G3004	V-PAP-NSM	｛40.8.3｜40.8.3｝
G2309	V-PAI-1S	｛40.8.3｜40.8.3｝
G2511	V-APM-2S	｛40.8.3｜40.8.3｝
G2532	CONJ	｛40.8.3｜40.8.3｝
G2112	ADV	｛40.8.3｜40.8.3｝
G2511	V-API-3S	｛40.8.3｜40.8.3｝
G846	P-GSM	｛40.8.3｜40.8.3｝
G3588	T-NSF	｛40.8.3｜40.8.3｝
G3014	N-NSF	｛40.8.3｜40.8.3｝
G2532	CONJ	｛40.8.4｜40.8.4｝
G3004	V-PAI-3S	｛40.8.4｜40.8.4｝
G846	P-DSM	｛40.8.4｜40.8.4｝
G3588	T-NSM	｛40.8.4｜40.8.4｝
G2424	N-NSM-P	｛40.8.4｜40.8.4｝
G3708	V-PAM-2S	｛40.8.4｜40.8.4｝
G3367	A-DSM	｛40.8.4｜40.8.4｝
G2036	V-2AAS-2S	｛40.8.4｜40.8.4｝
G235	CONJ	｛40.8.4｜40.8.4｝
G5217	V-PAM-2S	｛40.8.4｜40.8.4｝
G4572	F-2ASM	｛40.8.4｜40.8.4｝
G1166	V-AAM-2S	｛40.8.4｜40.8.4｝
G3588	T-DSM	｛40.8.4｜40.8.4｝
G2409	N-DSM	｛40.8.4｜40.8.4｝
G2532	CONJ	｛40.8.4｜40.8.4｝
G4374	V-2AAM-2S	｛40.8.4｜40.8.4｝
G3588	T-ASN	｛40.8.4｜40.8.4｝
G1435	N-ASN	｛40.8.4｜40.8.4｝
G3739	R-ASN	｛40.8.4｜40.8.4｝
G4367	V-AAI-3S	｛40.8.4｜40.8.4｝
G3475	N-NSM-P	｛40.8.4｜40.8.4｝
G1519	PREP	｛40.8.4｜40.8.4｝
G3142	N-ASN	｛40.8.4｜40.8.4｝
G846	P-DPM	｛40.8.4｜40.8.4｝
G1525	V-2AAP-GSM	｛40.8.5｜40.8.5｝
G1161	CONJ	｛40.8.5｜40.8.5｝
G846	P-GSM	｛40.8.5｜40.8.5｝
G1519	PREP	｛40.8.5｜40.8.5｝
G2584	N-ASF-L	｛40.8.5｜40.8.5｝
G4334	V-2AAI-3S	｛40.8.5｜40.8.5｝
G846	P-DSM	｛40.8.5｜40.8.5｝
G1543	N-NSM	｛40.8.5｜40.8.5｝
G3870	V-PAP-NSM	｛40.8.5｜40.8.5｝
G846	P-ASM	｛40.8.5｜40.8.5｝
G2532	CONJ	｛40.8.6｜40.8.6｝
G3004	V-PAP-NSM	｛40.8.6｜40.8.6｝
G2962	N-VSM	｛40.8.6｜40.8.6｝
G3588	T-NSM	｛40.8.6｜40.8.6｝
G3816	N-NSM	｛40.8.6｜40.8.6｝
G1473	P-1GS	｛40.8.6｜40.8.6｝
G906	V-RPI-3S	｛40.8.6｜40.8.6｝
G1722	PREP	｛40.8.6｜40.8.6｝
G3588	T-DSF	｛40.8.6｜40.8.6｝
G3614	N-DSF	｛40.8.6｜40.8.6｝
G3885	A-NSM	｛40.8.6｜40.8.6｝
G1171	ADV	｛40.8.6｜40.8.6｝
G928	V-PPP-NSM	｛40.8.6｜40.8.6｝
G2532	CONJ	｛40.8.7｜40.8.7｝
G3004	V-PAI-3S	｛40.8.7｜40.8.7｝
G846	P-DSM	｛40.8.7｜40.8.7｝
G1473	P-1NS	｛40.8.7｜40.8.7｝
G2064	V-2AAP-NSM	｛40.8.7｜40.8.7｝
G2323	V-FAI-1S	｛40.8.7｜40.8.7｝
G846	P-ASM	｛40.8.7｜40.8.7｝
G2532	CONJ	｛40.8.8｜40.8.8｝
G611	V-AOP-NSM	｛40.8.8｜40.8.8｝
G3588	T-NSM	｛40.8.8｜40.8.8｝
G1543	N-NSM	｛40.8.8｜40.8.8｝
G5346	V-IAI-3S	｛40.8.8｜40.8.8｝
G2962	N-VSM	｛40.8.8｜40.8.8｝
G3756	PRT-N	｛40.8.8｜40.8.8｝
G1510	V-PAI-1S	｛40.8.8｜40.8.8｝
G2425	A-NSM	｛40.8.8｜40.8.8｝
G2443	CONJ	｛40.8.8｜40.8.8｝
G1473	P-1GS	｛40.8.8｜40.8.8｝
G5259	PREP	｛40.8.8｜40.8.8｝
G3588	T-ASF	｛40.8.8｜40.8.8｝
G4721	N-ASF	｛40.8.8｜40.8.8｝
G1525	V-2AAS-2S	｛40.8.8｜40.8.8｝
G235	CONJ	｛40.8.8｜40.8.8｝
G3441	A-ASN	｛40.8.8｜40.8.8｝
G2036	V-2AAM-2S	｛40.8.8｜40.8.8｝
G3056	N-DSM	｛40.8.8｜40.8.8｝
G2532	CONJ	｛40.8.8｜40.8.8｝
G2390	V-FPI-3S	｛40.8.8｜40.8.8｝
G3588	T-NSM	｛40.8.8｜40.8.8｝
G3816	N-NSM	｛40.8.8｜40.8.8｝
G1473	P-1GS	｛40.8.8｜40.8.8｝
G2532	CONJ	｛40.8.9｜40.8.9｝
G1063	CONJ	｛40.8.9｜40.8.9｝
G1473	P-1NS	｛40.8.9｜40.8.9｝
G444	N-NSM	｛40.8.9｜40.8.9｝
G1510	V-PAI-1S	｛40.8.9｜40.8.9｝
G5259	PREP	｛40.8.9｜40.8.9｝
G1849	N-ASF	｛40.8.9｜40.8.9｝
G2192	V-PAP-NSM	｛40.8.9｜40.8.9｝
G5259	PREP	｛40.8.9｜40.8.9｝
G1683	F-1ASM	｛40.8.9｜40.8.9｝
G4757	N-APM	｛40.8.9｜40.8.9｝
G2532	CONJ	｛40.8.9｜40.8.9｝
G3004	V-PAI-1S	｛40.8.9｜40.8.9｝
G3778	D-DSM	｛40.8.9｜40.8.9｝
G4198	V-AOM-2S	｛40.8.9｜40.8.9｝
G2532	CONJ	｛40.8.9｜40.8.9｝
G4198	V-PNI-3S	｛40.8.9｜40.8.9｝
G2532	CONJ	｛40.8.9｜40.8.9｝
G243	A-DSM	｛40.8.9｜40.8.9｝
G2064	V-PNM-2S	｛40.8.9｜40.8.9｝
G2532	CONJ	｛40.8.9｜40.8.9｝
G2064	V-PNI-3S	｛40.8.9｜40.8.9｝
G2532	CONJ	｛40.8.9｜40.8.9｝
G3588	T-DSM	｛40.8.9｜40.8.9｝
G1401	N-DSM	｛40.8.9｜40.8.9｝
G1473	P-1GS	｛40.8.9｜40.8.9｝
G4160	V-AAM-2S	｛40.8.9｜40.8.9｝
G3778	D-ASN	｛40.8.9｜40.8.9｝
G2532	CONJ	｛40.8.9｜40.8.9｝
G4160	V-PAI-3S	｛40.8.9｜40.8.9｝
G191	V-AAP-NSM	｛40.8.10｜40.8.10｝
G1161	CONJ	｛40.8.10｜40.8.10｝
G3588	T-NSM	｛40.8.10｜40.8.10｝
G2424	N-NSM-P	｛40.8.10｜40.8.10｝
G2296	V-AAI-3S	｛40.8.10｜40.8.10｝
G2532	CONJ	｛40.8.10｜40.8.10｝
G2036	V-2AAI-3S	｛40.8.10｜40.8.10｝
G3588	T-DPM	｛40.8.10｜40.8.10｝
G190	V-PAP-DPM	｛40.8.10｜40.8.10｝
G281	HEB	｛40.8.10｜40.8.10｝
G3004	V-PAI-1S	｛40.8.10｜40.8.10｝
G4771	P-2DP	｛40.8.10｜40.8.10｝
G3844	PREP	｛40.8.10｜40.8.10｝
G3762	A-DSM	｛40.8.10｜40.8.10｝
G5118	D-ASF	｛40.8.10｜40.8.10｝
G4102	N-ASF	｛40.8.10｜40.8.10｝
G1722	PREP	｛40.8.10｜40.8.10｝
G3588	T-DSM	｛40.8.10｜40.8.10｝
G2474	N-DSM-L	｛40.8.10｜40.8.10｝
G2147	V-2AAI-1S	｛40.8.10｜40.8.10｝
G3004	V-PAI-1S	｛40.8.11｜40.8.11｝
G1161	CONJ	｛40.8.11｜40.8.11｝
G4771	P-2DP	｛40.8.11｜40.8.11｝
G3754	CONJ	｛40.8.11｜40.8.11｝
G4183	A-NPM	｛40.8.11｜40.8.11｝
G575	PREP	｛40.8.11｜40.8.11｝
G395	N-GPF	｛40.8.11｜40.8.11｝
G2532	CONJ	｛40.8.11｜40.8.11｝
G1424	N-GPF	｛40.8.11｜40.8.11｝
G2240	V-FAI-3P	｛40.8.11｜40.8.11｝
G2532	CONJ	｛40.8.11｜40.8.11｝
G347	V-FPI-3P	｛40.8.11｜40.8.11｝
G3326	PREP	｛40.8.11｜40.8.11｝
G11	N-GSM-P	｛40.8.11｜40.8.11｝
G2532	CONJ	｛40.8.11｜40.8.11｝
G2464	N-GSM-P	｛40.8.11｜40.8.11｝
G2532	CONJ	｛40.8.11｜40.8.11｝
G2384	N-GSM-P	｛40.8.11｜40.8.11｝
G1722	PREP	｛40.8.11｜40.8.11｝
G3588	T-DSF	｛40.8.11｜40.8.11｝
G932	N-DSF	｛40.8.11｜40.8.11｝
G3588	T-GPM	｛40.8.11｜40.8.11｝
G3772	N-GPM	｛40.8.11｜40.8.11｝
G3588	T-NPM	｛40.8.12｜40.8.12｝
G1161	CONJ	｛40.8.12｜40.8.12｝
G5207	N-NPM	｛40.8.12｜40.8.12｝
G3588	T-GSF	｛40.8.12｜40.8.12｝
G932	N-GSF	｛40.8.12｜40.8.12｝
G1544	V-FPI-3P	｛40.8.12｜40.8.12｝
G1519	PREP	｛40.8.12｜40.8.12｝
G3588	T-ASN	｛40.8.12｜40.8.12｝
G4655	N-ASN	｛40.8.12｜40.8.12｝
G3588	T-ASN	｛40.8.12｜40.8.12｝
G1857	A-ASN-C	｛40.8.12｜40.8.12｝
G1563	ADV	｛40.8.12｜40.8.12｝
G1510	V-FDI-3S	｛40.8.12｜40.8.12｝
G3588	T-NSM	｛40.8.12｜40.8.12｝
G2805	N-NSM	｛40.8.12｜40.8.12｝
G2532	CONJ	｛40.8.12｜40.8.12｝
G3588	T-NSM	｛40.8.12｜40.8.12｝
G1030	N-NSM	｛40.8.12｜40.8.12｝
G3588	T-GPM	｛40.8.12｜40.8.12｝
G3599	N-GPM	｛40.8.12｜40.8.12｝
G2532	CONJ	｛40.8.13｜40.8.13｝
G2036	V-2AAI-3S	｛40.8.13｜40.8.13｝
G3588	T-NSM	｛40.8.13｜40.8.13｝
G2424	N-NSM-P	｛40.8.13｜40.8.13｝
G3588	T-DSM	｛40.8.13｜40.8.13｝
G1543	N-DSM	｛40.8.13｜40.8.13｝
G5217	V-PAM-2S	｛40.8.13｜40.8.13｝
G5613	CONJ	｛40.8.13｜40.8.13｝
G4100	V-AAI-2S	｛40.8.13｜40.8.13｝
G1096	V-AOM-3S	｛40.8.13｜40.8.13｝
G4771	P-2DS	｛40.8.13｜40.8.13｝
G2532	CONJ	｛40.8.13｜40.8.13｝
G2390	V-API-3S	｛40.8.13｜40.8.13｝
G3588	T-NSM	｛40.8.13｜40.8.13｝
G3816	N-NSM	｛40.8.13｜40.8.13｝
G846	P-GSM	｛40.8.13｜40.8.13｝
G1722	PREP	｛40.8.13｜40.8.13｝
G3588	T-DSF	｛40.8.13｜40.8.13｝
G5610	N-DSF	｛40.8.13｜40.8.13｝
G1565	D-DSF	｛40.8.13｜40.8.13｝
G2532	CONJ	｛40.8.14｜40.8.14｝
G2064	V-2AAP-NSM	｛40.8.14｜40.8.14｝
G3588	T-NSM	｛40.8.14｜40.8.14｝
G2424	N-NSM-P	｛40.8.14｜40.8.14｝
G1519	PREP	｛40.8.14｜40.8.14｝
G3588	T-ASF	｛40.8.14｜40.8.14｝
G3614	N-ASF	｛40.8.14｜40.8.14｝
G4074	N-GSM-P	｛40.8.14｜40.8.14｝
G1492	V-2AAI-3S	｛40.8.14｜40.8.14｝
G3588	T-ASF	｛40.8.14｜40.8.14｝
G3994	N-ASF	｛40.8.14｜40.8.14｝
G846	P-GSM	｛40.8.14｜40.8.14｝
G906	V-RPP-ASF	｛40.8.14｜40.8.14｝
G2532	CONJ	｛40.8.14｜40.8.14｝
G4445	V-PAP-ASF	｛40.8.14｜40.8.14｝
G2532	CONJ	｛40.8.15｜40.8.15｝
G681	V-ADI-3S	｛40.8.15｜40.8.15｝
G3588	T-GSF	｛40.8.15｜40.8.15｝
G5495	N-GSF	｛40.8.15｜40.8.15｝
G846	P-GSF	｛40.8.15｜40.8.15｝
G2532	CONJ	｛40.8.15｜40.8.15｝
G863	V-AAI-3S	｛40.8.15｜40.8.15｝
G846	P-ASF	｛40.8.15｜40.8.15｝
G3588	T-NSM	｛40.8.15｜40.8.15｝
G4446	N-NSM	｛40.8.15｜40.8.15｝
G2532	CONJ	｛40.8.15｜40.8.15｝
G1453	V-API-3S	｛40.8.15｜40.8.15｝
G2532	CONJ	｛40.8.15｜40.8.15｝
G1247	V-IAI-3S	｛40.8.15｜40.8.15｝
G846	P-DSM	｛40.8.15｜40.8.15｝
G3798	A-GSF	｛40.8.16｜40.8.16｝
G1161	CONJ	｛40.8.16｜40.8.16｝
G1096	V-2ADP-GSF	｛40.8.16｜40.8.16｝
G4374	V-AAI-3P	｛40.8.16｜40.8.16｝
G846	P-DSM	｛40.8.16｜40.8.16｝
G1139	V-PNP-APM	｛40.8.16｜40.8.16｝
G4183	A-APM	｛40.8.16｜40.8.16｝
G2532	CONJ	｛40.8.16｜40.8.16｝
G1544	V-2AAI-3S	｛40.8.16｜40.8.16｝
G3588	T-APN	｛40.8.16｜40.8.16｝
G4151	N-APN	｛40.8.16｜40.8.16｝
G3056	N-DSM	｛40.8.16｜40.8.16｝
G2532	CONJ	｛40.8.16｜40.8.16｝
G3956	A-APM	｛40.8.16｜40.8.16｝
G3588	T-APM	｛40.8.16｜40.8.16｝
G2560	ADV	｛40.8.16｜40.8.16｝
G2192	V-PAP-APM	｛40.8.16｜40.8.16｝
G2323	V-AAI-3S	｛40.8.16｜40.8.16｝
G3704	CONJ	｛40.8.17｜40.8.17｝
G4137	V-APS-3S	｛40.8.17｜40.8.17｝
G3588	T-NSN	｛40.8.17｜40.8.17｝
G2036	V-APP-NSN	｛40.8.17｜40.8.17｝
G1223	PREP	｛40.8.17｜40.8.17｝
G2268	N-GSM-P	｛40.8.17｜40.8.17｝
G3588	T-GSM	｛40.8.17｜40.8.17｝
G4396	N-GSM	｛40.8.17｜40.8.17｝
G3004	V-PAP-GSM	｛40.8.17｜40.8.17｝
G846	P-NSM	｛40.8.17｜40.8.17｝
G3588	T-APF	｛40.8.17｜40.8.17｝
G769	N-APF	｛40.8.17｜40.8.17｝
G1473	P-1GP	｛40.8.17｜40.8.17｝
G2983	V-2AAI-3S	｛40.8.17｜40.8.17｝
G2532	CONJ	｛40.8.17｜40.8.17｝
G3588	T-APF	｛40.8.17｜40.8.17｝
G3554	N-APF	｛40.8.17｜40.8.17｝
G941	V-AAI-3S	｛40.8.17｜40.8.17｝
G1492	V-2AAP-NSM	｛40.8.18｜40.8.18｝
G1161	CONJ	｛40.8.18｜40.8.18｝
G3588	T-NSM	｛40.8.18｜40.8.18｝
G2424	N-NSM-P	｛40.8.18｜40.8.18｝
G3793	N-ASM	｛40.8.18｜40.8.18｝
G4012	PREP	｛40.8.18｜40.8.18｝
G846	P-ASM	｛40.8.18｜40.8.18｝
G2753	V-AAI-3S	｛40.8.18｜40.8.18｝
G565	V-2AAN	｛40.8.18｜40.8.18｝
G1519	PREP	｛40.8.18｜40.8.18｝
G3588	T-ASN	｛40.8.18｜40.8.18｝
G4008	ADV	｛40.8.18｜40.8.18｝
G2532	CONJ	｛40.8.19｜40.8.19｝
G4334	V-2AAP-NSM	｛40.8.19｜40.8.19｝
G1520	A-NSM	｛40.8.19｜40.8.19｝
G1122	N-NSM	｛40.8.19｜40.8.19｝
G2036	V-2AAI-3S	｛40.8.19｜40.8.19｝
G846	P-DSM	｛40.8.19｜40.8.19｝
G1320	N-VSM	｛40.8.19｜40.8.19｝
G190	V-FAI-1S	｛40.8.19｜40.8.19｝
G4771	P-2DS	｛40.8.19｜40.8.19｝
G3699	CONJ	｛40.8.19｜40.8.19｝
G1437	PRT	｛40.8.19｜40.8.19｝
G565	V-PNS-2S	｛40.8.19｜40.8.19｝
G2532	CONJ	｛40.8.20｜40.8.20｝
G3004	V-PAI-3S	｛40.8.20｜40.8.20｝
G846	P-DSM	｛40.8.20｜40.8.20｝
G3588	T-NSM	｛40.8.20｜40.8.20｝
G2424	N-NSM-P	｛40.8.20｜40.8.20｝
G3588	T-NPF	｛40.8.20｜40.8.20｝
G258	N-NPF	｛40.8.20｜40.8.20｝
G5454	N-APM	｛40.8.20｜40.8.20｝
G2192	V-PAI-3P	｛40.8.20｜40.8.20｝
G2532	CONJ	｛40.8.20｜40.8.20｝
G3588	T-NPN	｛40.8.20｜40.8.20｝
G4071	A-NPN	｛40.8.20｜40.8.20｝
G3588	T-GSM	｛40.8.20｜40.8.20｝
G3772	N-GSM	｛40.8.20｜40.8.20｝
G2682	N-APF	｛40.8.20｜40.8.20｝
G3588	T-NSM	｛40.8.20｜40.8.20｝
G1161	CONJ	｛40.8.20｜40.8.20｝
G5207	N-NSM	｛40.8.20｜40.8.20｝
G3588	T-GSM	｛40.8.20｜40.8.20｝
G444	N-GSM	｛40.8.20｜40.8.20｝
G3756	PRT-N	｛40.8.20｜40.8.20｝
G2192	V-PAI-3S	｛40.8.20｜40.8.20｝
G4226	ADV-I	｛40.8.20｜40.8.20｝
G3588	T-ASF	｛40.8.20｜40.8.20｝
G2776	N-ASF	｛40.8.20｜40.8.20｝
G2827	V-PAS-3S	｛40.8.20｜40.8.20｝
G2087	A-NSM	｛40.8.21｜40.8.21｝
G1161	CONJ	｛40.8.21｜40.8.21｝
G3588	T-GPM	｛40.8.21｜40.8.21｝
G3101	N-GPM	｛40.8.21｜40.8.21｝
G846	P-GSM	｛40.8.21｜40.8.21｝
G2036	V-2AAI-3S	｛40.8.21｜40.8.21｝
G846	P-DSM	｛40.8.21｜40.8.21｝
G2962	N-VSM	｛40.8.21｜40.8.21｝
G2010	V-AAM-2S	｛40.8.21｜40.8.21｝
G1473	P-1DS	｛40.8.21｜40.8.21｝
G4413	A-ASN	｛40.8.21｜40.8.21｝
G565	V-2AAN	｛40.8.21｜40.8.21｝
G2532	CONJ	｛40.8.21｜40.8.21｝
G2290	V-AAN	｛40.8.21｜40.8.21｝
G3588	T-ASM	｛40.8.21｜40.8.21｝
G3962	N-ASM	｛40.8.21｜40.8.21｝
G1473	P-1GS	｛40.8.21｜40.8.21｝
G3588	T-NSM	｛40.8.22｜40.8.22｝
G1161	CONJ	｛40.8.22｜40.8.22｝
G2424	N-NSM-P	｛40.8.22｜40.8.22｝
G3004	V-PAI-3S	｛40.8.22｜40.8.22｝
G846	P-DSM	｛40.8.22｜40.8.22｝
G190	V-PAM-2S	｛40.8.22｜40.8.22｝
G1473	P-1DS	｛40.8.22｜40.8.22｝
G2532	CONJ	｛40.8.22｜40.8.22｝
G863	V-2AAM-2S	｛40.8.22｜40.8.22｝
G3588	T-APM	｛40.8.22｜40.8.22｝
G3498	A-APM	｛40.8.22｜40.8.22｝
G2290	V-AAN	｛40.8.22｜40.8.22｝
G3588	T-APM	｛40.8.22｜40.8.22｝
G1438	F-3GPM	｛40.8.22｜40.8.22｝
G3498	A-APM	｛40.8.22｜40.8.22｝
G2532	CONJ	｛40.8.23｜40.8.23｝
G1684	V-2AAP-DSM	｛40.8.23｜40.8.23｝
G846	P-DSM	｛40.8.23｜40.8.23｝
G1519	PREP	｛40.8.23｜40.8.23｝
G3588	T-ASN	｛40.8.23｜40.8.23｝
G4143	N-ASN	｛40.8.23｜40.8.23｝
G190	V-AAI-3P	｛40.8.23｜40.8.23｝
G846	P-DSM	｛40.8.23｜40.8.23｝
G3588	T-NPM	｛40.8.23｜40.8.23｝
G3101	N-NPM	｛40.8.23｜40.8.23｝
G846	P-GSM	｛40.8.23｜40.8.23｝
G2532	CONJ	｛40.8.24｜40.8.24｝
G2400	INJ	｛40.8.24｜40.8.24｝
G4578	N-NSM	｛40.8.24｜40.8.24｝
G3173	A-NSM	｛40.8.24｜40.8.24｝
G1096	V-2ADI-3S	｛40.8.24｜40.8.24｝
G1722	PREP	｛40.8.24｜40.8.24｝
G3588	T-DSF	｛40.8.24｜40.8.24｝
G2281	N-DSF	｛40.8.24｜40.8.24｝
G5620	CONJ	｛40.8.24｜40.8.24｝
G3588	T-ASN	｛40.8.24｜40.8.24｝
G4143	N-ASN	｛40.8.24｜40.8.24｝
G2572	V-PPN	｛40.8.24｜40.8.24｝
G5259	PREP	｛40.8.24｜40.8.24｝
G3588	T-GPN	｛40.8.24｜40.8.24｝
G2949	N-GPN	｛40.8.24｜40.8.24｝
G846	P-NSM	｛40.8.24｜40.8.24｝
G1161	CONJ	｛40.8.24｜40.8.24｝
G2518	V-IAI-3S	｛40.8.24｜40.8.24｝
G2532	CONJ	｛40.8.25｜40.8.25｝
G4334	V-2AAP-NPM	｛40.8.25｜40.8.25｝
G1453	V-AAI-3P	｛40.8.25｜40.8.25｝
G846	P-ASM	｛40.8.25｜40.8.25｝
G3004	V-PAP-NPM	｛40.8.25｜40.8.25｝
G2962	N-VSM	｛40.8.25｜40.8.25｝
G4982	V-AAM-2S	｛40.8.25｜40.8.25｝
G622	V-PMI-1P	｛40.8.25｜40.8.25｝
G2532	CONJ	｛40.8.26｜40.8.26｝
G3004	V-PAI-3S	｛40.8.26｜40.8.26｝
G846	P-DPM	｛40.8.26｜40.8.26｝
G5101	I-ASN	｛40.8.26｜40.8.26｝
G1169	A-NPM	｛40.8.26｜40.8.26｝
G1510	V-PAI-2P	｛40.8.26｜40.8.26｝
G3640	A-VPM	｛40.8.26｜40.8.26｝
G5119	ADV	｛40.8.26｜40.8.26｝
G1453	V-APP-NSM	｛40.8.26｜40.8.26｝
G2008	V-AAI-3S	｛40.8.26｜40.8.26｝
G3588	T-DPM	｛40.8.26｜40.8.26｝
G417	N-DPM	｛40.8.26｜40.8.26｝
G2532	CONJ	｛40.8.26｜40.8.26｝
G3588	T-DSF	｛40.8.26｜40.8.26｝
G2281	N-DSF	｛40.8.26｜40.8.26｝
G2532	CONJ	｛40.8.26｜40.8.26｝
G1096	V-2ADI-3S	｛40.8.26｜40.8.26｝
G1055	N-NSF	｛40.8.26｜40.8.26｝
G3173	A-NSF	｛40.8.26｜40.8.26｝
G3588	T-NPM	｛40.8.27｜40.8.27｝
G1161	CONJ	｛40.8.27｜40.8.27｝
G444	N-NPM	｛40.8.27｜40.8.27｝
G2296	V-AAI-3P	｛40.8.27｜40.8.27｝
G3004	V-PAP-NPM	｛40.8.27｜40.8.27｝
G4217	I-NSM	｛40.8.27｜40.8.27｝
G1510	V-PAI-3S	｛40.8.27｜40.8.27｝
G3778	D-NSM	｛40.8.27｜40.8.27｝
G3754	CONJ	｛40.8.27｜40.8.27｝
G2532	CONJ	｛40.8.27｜40.8.27｝
G3588	T-NPM	｛40.8.27｜40.8.27｝
G417	N-NPM	｛40.8.27｜40.8.27｝
G2532	CONJ	｛40.8.27｜40.8.27｝
G3588	T-NSF	｛40.8.27｜40.8.27｝
G2281	N-NSF	｛40.8.27｜40.8.27｝
G846	P-DSM	｛40.8.27｜40.8.27｝
G5219	V-PAI-3P	｛40.8.27｜40.8.27｝
G2532	CONJ	｛40.8.28｜40.8.28｝
G2064	V-2AAP-GSM	｛40.8.28｜40.8.28｝
G846	P-GSM	｛40.8.28｜40.8.28｝
G1519	PREP	｛40.8.28｜40.8.28｝
G3588	T-ASN	｛40.8.28｜40.8.28｝
G4008	ADV	｛40.8.28｜40.8.28｝
G1519	PREP	｛40.8.28｜40.8.28｝
G3588	T-ASF	｛40.8.28｜40.8.28｝
G5561	N-ASF	｛40.8.28｜40.8.28｝
G3588	T-GPM	｛40.8.28｜40.8.28｝
G1046	N-GPM-LG	｛40.8.28｜40.8.28｝
G5221	V-AAI-3P	｛40.8.28｜40.8.28｝
G846	P-DSM	｛40.8.28｜40.8.28｝
G1417	A-NPM-NUI	｛40.8.28｜40.8.28｝
G1139	V-PNP-NPM	｛40.8.28｜40.8.28｝
G1537	PREP	｛40.8.28｜40.8.28｝
G3588	T-GPN	｛40.8.28｜40.8.28｝
G3419	N-GPN	｛40.8.28｜40.8.28｝
G1831	V-PNP-NPM	｛40.8.28｜40.8.28｝
G5467	A-NPM	｛40.8.28｜40.8.28｝
G3029	ADV	｛40.8.28｜40.8.28｝
G5620	CONJ	｛40.8.28｜40.8.28｝
G3361	PRT-N	｛40.8.28｜40.8.28｝
G2480	V-PAN	｛40.8.28｜40.8.28｝
G5100	X-ASM	｛40.8.28｜40.8.28｝
G3928	V-2AAN	｛40.8.28｜40.8.28｝
G1223	PREP	｛40.8.28｜40.8.28｝
G3588	T-GSF	｛40.8.28｜40.8.28｝
G3598	N-GSF	｛40.8.28｜40.8.28｝
G1565	D-GSF	｛40.8.28｜40.8.28｝
G2532	CONJ	｛40.8.29｜40.8.29｝
G2400	INJ	｛40.8.29｜40.8.29｝
G2896	V-AAI-3P	｛40.8.29｜40.8.29｝
G3004	V-PAP-NPM	｛40.8.29｜40.8.29｝
G5101	I-NSN	｛40.8.29｜40.8.29｝
G1473	P-1DP	｛40.8.29｜40.8.29｝
G2532	CONJ	｛40.8.29｜40.8.29｝
G4771	P-2DS	｛40.8.29｜40.8.29｝
G5207	N-VSM	｛40.8.29｜40.8.29｝
G3588	T-GSM	｛40.8.29｜40.8.29｝
G2316	N-GSM	｛40.8.29｜40.8.29｝
G2064	V-2AAI-2S	｛40.8.29｜40.8.29｝
G5602	ADV	｛40.8.29｜40.8.29｝
G4253	PREP	｛40.8.29｜40.8.29｝
G2540	N-GSM	｛40.8.29｜40.8.29｝
G928	V-AAN	｛40.8.29｜40.8.29｝
G1473	P-1AP	｛40.8.29｜40.8.29｝
G1510	V-IAI-3S	｛40.8.30｜40.8.30｝
G1161	CONJ	｛40.8.30｜40.8.30｝
G3117	A-ASF	｛40.8.30｜40.8.30｝
G575	PREP	｛40.8.30｜40.8.30｝
G846	P-GPM	｛40.8.30｜40.8.30｝
G34	N-NSF	｛40.8.30｜40.8.30｝
G5519	N-GPM	｛40.8.30｜40.8.30｝
G4183	A-GPM	｛40.8.30｜40.8.30｝
G1006	V-PPP-NSF	｛40.8.30｜40.8.30｝
G3588	T-NPM	｛40.8.31｜40.8.31｝
G1161	CONJ	｛40.8.31｜40.8.31｝
G1142	N-NPM	｛40.8.31｜40.8.31｝
G3870	V-IAI-3P	｛40.8.31｜40.8.31｝
G846	P-ASM	｛40.8.31｜40.8.31｝
G3004	V-PAP-NPM	｛40.8.31｜40.8.31｝
G1487	CONJ	｛40.8.31｜40.8.31｝
G1544	V-PAI-2S	｛40.8.31｜40.8.31｝
G1473	P-1AP	｛40.8.31｜40.8.31｝
G649	V-AAM-2S	｛40.8.31｜40.8.31｝
G1473	P-1AP	｛40.8.31｜40.8.31｝
