G1161	CONJ	｛40.1.6｜40.1.6｝
G1080	V-AAI-3S	｛40.1.6｜40.1.6｝
G3588	T-ASM	｛40.1.6｜40.1.6｝
G4672	N-ASM-P	｛40.1.6｜40.1.6｝
G1537	PREP	｛40.1.6｜40.1.6｝
G3588	T-GSF	｛40.1.6｜40.1.6｝
G3588	T-GSM	｛40.1.6｜40.1.6｝
G3774	N-GSM-P	｛40.1.6｜40.1.6｝
G4672	N-NSM-P	｛40.1.7｜40.1.7｝
G1161	CONJ	｛40.1.7｜40.1.7｝
G1080	V-AAI-3S	｛40.1.7｜40.1.7｝
G3588	T-ASM	｛40.1.7｜40.1.7｝
G4497	N-ASM-P	｛40.1.7｜40.1.7｝
G4497	N-NSM-P	｛40.1.7｜40.1.7｝
G1161	CONJ	｛40.1.7｜40.1.7｝
G1080	V-AAI-3S	｛40.1.7｜40.1.7｝
G3588	T-ASM	｛40.1.7｜40.1.7｝
G7	N-ASM-P	｛40.1.7｜40.1.7｝
G7	N-NSM-P	｛40.1.7｜40.1.7｝
G1161	CONJ	｛40.1.7｜40.1.7｝
G1080	V-AAI-3S	｛40.1.7｜40.1.7｝
G3588	T-ASM	｛40.1.7｜40.1.7｝
G760	N-ASM-P	｛40.1.7｜40.1.7｝
G760	N-NSM-P	｛40.1.8｜40.1.8｝
G1161	CONJ	｛40.1.8｜40.1.8｝
G1080	V-AAI-3S	｛40.1.8｜40.1.8｝
G3588	T-ASM	｛40.1.8｜40.1.8｝
G2498	N-ASM-P	｛40.1.8｜40.1.8｝
G2498	N-NSM-P	｛40.1.8｜40.1.8｝
G1161	CONJ	｛40.1.8｜40.1.8｝
G1080	V-AAI-3S	｛40.1.8｜40.1.8｝
G3588	T-ASM	｛40.1.8｜40.1.8｝
G2496	N-ASM-P	｛40.1.8｜40.1.8｝
G2496	N-NSM-P	｛40.1.8｜40.1.8｝
G1161	CONJ	｛40.1.8｜40.1.8｝
G1080	V-AAI-3S	｛40.1.8｜40.1.8｝
G3588	T-ASM	｛40.1.8｜40.1.8｝
G3604	N-ASM-P	｛40.1.8｜40.1.8｝
G3604	N-NSM-P	｛40.1.9｜40.1.9｝
G1161	CONJ	｛40.1.9｜40.1.9｝
G1080	V-AAI-3S	｛40.1.9｜40.1.9｝
G3588	T-ASM	｛40.1.9｜40.1.9｝
G2488	N-ASM-P	｛40.1.9｜40.1.9｝
G2488	N-NSM-P	｛40.1.9｜40.1.9｝
G1161	CONJ	｛40.1.9｜40.1.9｝
G1080	V-AAI-3S	｛40.1.9｜40.1.9｝
G3588	T-ASM	｛40.1.9｜40.1.9｝
G881	N-ASM-P	｛40.1.9｜40.1.9｝
G881	N-NSM-P	｛40.1.9｜40.1.9｝
G1161	CONJ	｛40.1.9｜40.1.9｝
G1080	V-AAI-3S	｛40.1.9｜40.1.9｝
G3588	T-ASM	｛40.1.9｜40.1.9｝
G1478	N-ASM-P	｛40.1.9｜40.1.9｝
G1478	N-NSM-P	｛40.1.10｜40.1.10｝
G1161	CONJ	｛40.1.10｜40.1.10｝
G1080	V-AAI-3S	｛40.1.10｜40.1.10｝
G3588	T-ASM	｛40.1.10｜40.1.10｝
G3128	N-ASM-P	｛40.1.10｜40.1.10｝
G3128	N-NSM-P	｛40.1.10｜40.1.10｝
G1161	CONJ	｛40.1.10｜40.1.10｝
G1080	V-AAI-3S	｛40.1.10｜40.1.10｝
G3588	T-ASM	｛40.1.10｜40.1.10｝
G301	N-ASM-P	｛40.1.10｜40.1.10｝
G301	N-NSM-P	｛40.1.10｜40.1.10｝
G1161	CONJ	｛40.1.10｜40.1.10｝
G1080	V-AAI-3S	｛40.1.10｜40.1.10｝
G3588	T-ASM	｛40.1.10｜40.1.10｝
G2502	N-ASM-P	｛40.1.10｜40.1.10｝
G2502	N-NSM-P	｛40.1.11｜40.1.11｝
G1161	CONJ	｛40.1.11｜40.1.11｝
G1080	V-AAI-3S	｛40.1.11｜40.1.11｝
G3588	T-ASM	｛40.1.11｜40.1.11｝
G2423	N-ASM-P	｛40.1.11｜40.1.11｝
G2532	CONJ	｛40.1.11｜40.1.11｝
G3588	T-APM	｛40.1.11｜40.1.11｝
G80	N-APM	｛40.1.11｜40.1.11｝
G846	P-GSM	｛40.1.11｜40.1.11｝
G1909	PREP	｛40.1.11｜40.1.11｝
G3588	T-GSF	｛40.1.11｜40.1.11｝
G3350	N-GSF	｛40.1.11｜40.1.11｝
G897	N-GSF-L	｛40.1.11｜40.1.11｝
G3326	PREP	｛40.1.12｜40.1.12｝
G1161	CONJ	｛40.1.12｜40.1.12｝
G3588	T-ASF	｛40.1.12｜40.1.12｝
G3350	N-ASF	｛40.1.12｜40.1.12｝
G897	N-GSF-L	｛40.1.12｜40.1.12｝
G2423	N-NSM-P	｛40.1.12｜40.1.12｝
G1080	V-AAI-3S	｛40.1.12｜40.1.12｝
G3588	T-ASM	｛40.1.12｜40.1.12｝
G4528	N-ASM-P	｛40.1.12｜40.1.12｝
G4528	N-NSM-P	｛40.1.12｜40.1.12｝
G1161	CONJ	｛40.1.12｜40.1.12｝
G1080	V-AAI-3S	｛40.1.12｜40.1.12｝
G3588	T-ASM	｛40.1.12｜40.1.12｝
G2216	N-ASM-P	｛40.1.12｜40.1.12｝
G2216	N-NSM-P	｛40.1.13｜40.1.13｝
G1161	CONJ	｛40.1.13｜40.1.13｝
G1080	V-AAI-3S	｛40.1.13｜40.1.13｝
G3588	T-ASM	｛40.1.13｜40.1.13｝
G10	N-ASM-P	｛40.1.13｜40.1.13｝
G10	N-NSM-P	｛40.1.13｜40.1.13｝
G1161	CONJ	｛40.1.13｜40.1.13｝
G1080	V-AAI-3S	｛40.1.13｜40.1.13｝
G3588	T-ASM	｛40.1.13｜40.1.13｝
G1662	N-ASM-P	｛40.1.13｜40.1.13｝
G1662	N-NSM-P	｛40.1.13｜40.1.13｝
G1161	CONJ	｛40.1.13｜40.1.13｝
G1080	V-AAI-3S	｛40.1.13｜40.1.13｝
G3588	T-ASM	｛40.1.13｜40.1.13｝
G107	N-ASM-P	｛40.1.13｜40.1.13｝
G107	N-NSM-P	｛40.1.14｜40.1.14｝
