000180	〔40｜1｜12〕	τὸν
000181	〔40｜1｜12〕	Σαλαθιήλ
000182	〔40｜1｜12〕	Σαλαθιὴλ
000183	〔40｜1｜12〕	δὲ
000184	〔40｜1｜12〕	ἐγέννησεν
000185	〔40｜1｜12〕	τὸν
000186	〔40｜1｜12〕	Ζοροβαβέλ
000187	〔40｜1｜13〕	Ζοροβαβὲλ
000188	〔40｜1｜13〕	δὲ
000189	〔40｜1｜13〕	ἐγέννησεν
000190	〔40｜1｜13〕	τὸν
000191	〔40｜1｜13〕	Ἀβιούδ
000192	〔40｜1｜13〕	Ἀβιοὺδ
000193	〔40｜1｜13〕	δὲ
000194	〔40｜1｜13〕	ἐγέννησεν
000195	〔40｜1｜13〕	τὸν
000196	〔40｜1｜13〕	Ἐλιακίμ
000197	〔40｜1｜13〕	Ἐλιακὶμ
000198	〔40｜1｜13〕	δὲ
000199	〔40｜1｜13〕	ἐγέννησεν
000200	〔40｜1｜13〕	τὸν
000201	〔40｜1｜13〕	Ἀζώρ
000202	〔40｜1｜14〕	Ἀζὼρ
000203	〔40｜1｜14〕	δὲ
000204	〔40｜1｜14〕	ἐγέννησεν
000205	〔40｜1｜14〕	τὸν
000206	〔40｜1｜14〕	Σαδώκ
000207	〔40｜1｜14〕	Σαδὼκ
000208	〔40｜1｜14〕	δὲ
000209	〔40｜1｜14〕	ἐγέννησεν
000210	〔40｜1｜14〕	τὸν
000211	〔40｜1｜14〕	Ἀχίμ
000212	〔40｜1｜14〕	Ἀχὶμ
000213	〔40｜1｜14〕	δὲ
000214	〔40｜1｜14〕	ἐγέννησεν
000215	〔40｜1｜14〕	τὸν
000216	〔40｜1｜14〕	Ἐλιούδ
000217	〔40｜1｜15〕	Ἐλιοὺδ
000218	〔40｜1｜15〕	δὲ
000219	〔40｜1｜15〕	ἐγέννησεν
000220	〔40｜1｜15〕	τὸν
000221	〔40｜1｜15〕	Ἐλεάζαρ
000222	〔40｜1｜15〕	Ἐλεάζαρ
000223	〔40｜1｜15〕	δὲ
000224	〔40｜1｜15〕	ἐγέννησεν
000225	〔40｜1｜15〕	τὸν
000226	〔40｜1｜15〕	Ματθάν
000227	〔40｜1｜15〕	Ματθὰν
000228	〔40｜1｜15〕	δὲ
000229	〔40｜1｜15〕	ἐγέννησεν
000230	〔40｜1｜15〕	τὸν
000231	〔40｜1｜15〕	Ἰακώβ
000232	〔40｜1｜16〕	Ἰακὼβ
000233	〔40｜1｜16〕	δὲ
000234	〔40｜1｜16〕	ἐγέννησεν
