OGNTsort	extendedStrNo	RMAC	description
055542	G1510	V-PAI-3S	『V-PAI-3S』
055543	G3004	V-PAI-3S	『V-PAI-3S』
055544	G846	P-DPM	『P-DPM』
055545	G3588	T-NSM	『T-NSM』
055546	G2424	N-NSM-P	『N-NSM-P』
055547	G1487	CONJ	『CONJ』
055548	G5043	N-NPN	『N-NPN』
055549	G3588	T-GSM	『T-GSM』
055550	G11	N-GSM-P	『N-GSM-P』
055551	G1510	V-PAI-2P	『V-PAI-2P』
055552	G3588	T-APN	『T-APN』
055553	G2041	N-APN	『N-APN』
055554	G3588	T-GSM	『T-GSM』
055555	G11	N-GSM-P	『N-GSM-P』
055556	G4160	V-IAI-2P	『V-IAI-2P』
055557	G3568	ADV	『ADV』
055558	G1161	CONJ	『CONJ』
055559	G2212	V-PAI-2P	『V-PAI-2P』
055560	G1473	P-1AS	『P-1AS』
055561	G615	V-AAN	『V-AAN』
055562	G444	N-ASM	『N-ASM』
055563	G3739	R-NSM	『R-NSM』
055564	G3588	T-ASF	『T-ASF』
055565	G225	N-ASF	『N-ASF』
055566	G4771	P-2DP	『P-2DP』
055567	G2980	V-RAI-1S	『V-RAI-1S』
055568	G3739	R-ASF	『R-ASF』
055569	G191	V-AAI-1S	『V-AAI-1S』
055570	G3844	PREP	『PREP』
055571	G3588	T-GSM	『T-GSM』
055572	G2316	N-GSM	『N-GSM』
055573	G3778	D-ASN	『D-ASN』
055574	G11	N-NSM-P	『N-NSM-P』
055575	G3756	PRT-N	『PRT-N』
055576	G4160	V-AAI-3S	『V-AAI-3S』
055577	G4771	P-2NP	『P-2NP』
055578	G4160	V-PAI-2P	『V-PAI-2P』
055579	G3588	T-APN	『T-APN』
055580	G2041	N-APN	『N-APN』
055581	G3588	T-GSM	『T-GSM』
055582	G3962	N-GSM	『N-GSM』
055583	G4771	P-2GP	『P-2GP』
055584	G2036	V-2AAI-3P	『V-2AAI-3P』
055585	G3767	CONJ	『CONJ』
055586	G846	P-DSM	『P-DSM』
055587	G1473	P-1NP	『P-1NP』
055588	G1537	PREP	『PREP』
055589	G4202	N-GSF	『N-GSF』
055590	G3756	PRT-N	『PRT-N』
055591	G1080	V-RPI-1P	『V-RPI-1P』
055592	G1520	A-ASM	『A-ASM』
055593	G3962	N-ASM	『N-ASM』
055594	G2192	V-PAI-1P	『V-PAI-1P』
055595	G3588	T-ASM	『T-ASM』
055596	G2316	N-ASM	『N-ASM』
055597	G2036	V-2AAI-3S	『V-2AAI-3S』
055598	G846	P-DPM	『P-DPM』
055599	G3588	T-NSM	『T-NSM』
055600	G2424	N-NSM-P	『N-NSM-P』
055601	G1487	CONJ	『CONJ』
055602	G3588	T-NSM	『T-NSM』
055603	G2316	N-NSM	『N-NSM』
055604	G3962	N-NSM	『N-NSM』
055605	G4771	P-2GP	『P-2GP』
055606	G1510	V-IAI-3S	『V-IAI-3S』
055607	G25	V-IAI-2P	『V-IAI-2P』
055608	G302	PRT	『PRT』
055609	G1473	P-1AS	『P-1AS』
055610	G1473	P-1NS	『P-1NS』
055611	G1063	CONJ	『CONJ』
055612	G1537	PREP	『PREP』
055613	G3588	T-GSM	『T-GSM』
055614	G2316	N-GSM	『N-GSM』
055615	G1831	V-2AAI-1S	『V-2AAI-1S』
055616	G2532	CONJ	『CONJ』
055617	G2240	V-PAI-1S	『V-PAI-1S』
055618	G3761	CONJ-N	『CONJ-N』
055619	G1063	CONJ	『CONJ』
055620	G575	PREP	『PREP』
055621	G1683	F-1GSM	『F-1GSM』
055622	G2064	V-2RAI-1S	『V-2RAI-1S』
055623	G235	CONJ	『CONJ』
055624	G1565	D-NSM	『D-NSM』
055625	G1473	P-1AS	『P-1AS』
055626	G649	V-AAI-3S	『V-AAI-3S』
055627	G1223	PREP	『PREP』
055628	G5101	I-ASN	『I-ASN』
055629	G3588	T-ASF	『T-ASF』
055630	G2981	N-ASF	『N-ASF』
055631	G3588	T-ASF	『T-ASF』
055632	G1699	S-1SASF	『S-1SASF』
055633	G3756	PRT-N	『PRT-N』
055634	G1097	V-PAI-2P	『V-PAI-2P』
055635	G3754	CONJ	『CONJ』
055636	G3756	PRT-N	『PRT-N』
055637	G1410	V-PNI-2P	『V-PNI-2P』
055638	G191	V-PAN	『V-PAN』
055639	G3588	T-ASM	『T-ASM』
055640	G3056	N-ASM	『N-ASM』
055641	G3588	T-ASM	『T-ASM』
055642	G1699	S-1SASM	『S-1SASM』
055643	G4771	P-2NP	『P-2NP』
055644	G1537	PREP	『PREP』
055645	G3588	T-GSM	『T-GSM』
055646	G3962	N-GSM	『N-GSM』
055647	G3588	T-GSM	『T-GSM』
055648	G1228	A-GSM	『A-GSM』
055649	G1510	V-PAI-2P	『V-PAI-2P』
055650	G2532	CONJ	『CONJ』
055651	G3588	T-APF	『T-APF』
055652	G1939	N-APF	『N-APF』
055653	G3588	T-GSM	『T-GSM』
055654	G3962	N-GSM	『N-GSM』
055655	G4771	P-2GP	『P-2GP』
055656	G2309	V-PAI-2P	『V-PAI-2P』
055657	G4160	V-PAN	『V-PAN』
055658	G1565	D-NSM	『D-NSM』
055659	G443	N-NSM	『N-NSM』
055660	G1510	V-IAI-3S	『V-IAI-3S』
055661	G575	PREP	『PREP』
055662	G746	N-GSF	『N-GSF』
055663	G2532	CONJ	『CONJ』
055664	G1722	PREP	『PREP』
055665	G3588	T-DSF	『T-DSF』
055666	G225	N-DSF	『N-DSF』
055667	G3756	PRT-N	『PRT-N』
055668	G2476	V-RAI-3S	『V-RAI-3S』
055669	G3754	CONJ	『CONJ』
055670	G3756	PRT-N	『PRT-N』
055671	G1510	V-PAI-3S	『V-PAI-3S』
055672	G225	N-NSF	『N-NSF』
055673	G1722	PREP	『PREP』
055674	G846	P-DSM	『P-DSM』
055675	G3752	CONJ	『CONJ』
055676	G2980	V-PAS-3S	『V-PAS-3S』
055677	G3588	T-ASN	『T-ASN』
055678	G5579	N-ASN	『N-ASN』
055679	G1537	PREP	『PREP』
055680	G3588	T-GPN	『T-GPN』
055681	G2398	A-GPN	『A-GPN』
055682	G2980	V-PAI-3S	『V-PAI-3S』
055683	G3754	CONJ	『CONJ』
055684	G5583	N-NSM	『N-NSM』
055685	G1510	V-PAI-3S	『V-PAI-3S』
055686	G2532	CONJ	『CONJ』
055687	G3588	T-NSM	『T-NSM』
055688	G3962	N-NSM	『N-NSM』
055689	G846	P-GSN	『P-GSN』
055690	G1473	P-1NS	『P-1NS』
055691	G1161	CONJ	『CONJ』
055692	G3754	CONJ	『CONJ』
055693	G3588	T-ASF	『T-ASF』
055694	G225	N-ASF	『N-ASF』
055695	G3004	V-PAI-1S	『V-PAI-1S』
055696	G3756	PRT-N	『PRT-N』
055697	G4100	V-PAI-2P	『V-PAI-2P』
055698	G1473	P-1DS	『P-1DS』
055699	G5101	I-NSM	『I-NSM』
055700	G1537	PREP	『PREP』
055701	G4771	P-2GP	『P-2GP』
055702	G1651	V-PAI-3S	『V-PAI-3S』
055703	G1473	P-1AS	『P-1AS』
055704	G4012	PREP	『PREP』
055705	G266	N-GSF	『N-GSF』
055706	G1487	CONJ	『CONJ』
055707	G225	N-ASF	『N-ASF』
055708	G3004	V-PAI-1S	『V-PAI-1S』
055709	G1223	PREP	『PREP』
055710	G5101	I-ASN	『I-ASN』
055711	G4771	P-2NP	『P-2NP』
055712	G3756	PRT-N	『PRT-N』
055713	G4100	V-PAI-2P	『V-PAI-2P』
055714	G1473	P-1DS	『P-1DS』
055715	G3588	T-NSM	『T-NSM』
055716	G1510	V-PAP-NSM	『V-PAP-NSM』
055717	G1537	PREP	『PREP』
055718	G3588	T-GSM	『T-GSM』
055719	G2316	N-GSM	『N-GSM』
055720	G3588	T-APN	『T-APN』
055721	G4487	N-APN	『N-APN』
055722	G3588	T-GSM	『T-GSM』
055723	G2316	N-GSM	『N-GSM』
055724	G191	V-PAI-3S	『V-PAI-3S』
055725	G1223	PREP	『PREP』
055726	G3778	D-ASN	『D-ASN』
055727	G4771	P-2NP	『P-2NP』
055728	G3756	PRT-N	『PRT-N』
055729	G191	V-PAI-2P	『V-PAI-2P』
055730	G3754	CONJ	『CONJ』
055731	G1537	PREP	『PREP』
055732	G3588	T-GSM	『T-GSM』
055733	G2316	N-GSM	『N-GSM』
055734	G3756	PRT-N	『PRT-N』
055735	G1510	V-PAI-2P	『V-PAI-2P』
055736	G611	V-ADI-3P	『V-ADI-3P』
055737	G3588	T-NPM	『T-NPM』
055738	G2453	A-NPM-PG	『A-NPM-PG』
055739	G2532	CONJ	『CONJ』
055740	G2036	V-2AAI-3P	『V-2AAI-3P』
055741	G846	P-DSM	『P-DSM』
055742	G3756	PRT-N	『PRT-N』
055743	G2573	ADV	『ADV』
055744	G3004	V-PAI-1P	『V-PAI-1P』
055745	G1473	P-1NP	『P-1NP』
055746	G3754	CONJ	『CONJ』
055747	G4541	N-NSM-LG	『N-NSM-LG』
055748	G1510	V-PAI-2S	『V-PAI-2S』
055749	G4771	P-2NS	『P-2NS』
055750	G2532	CONJ	『CONJ』
055751	G1140	N-ASN	『N-ASN』
055752	G2192	V-PAI-2S	『V-PAI-2S』
055753	G611	V-ADI-3S	『V-ADI-3S』
055754	G2424	N-NSM-P	『N-NSM-P』
055755	G1473	P-1NS	『P-1NS』
055756	G1140	N-ASN	『N-ASN』
055757	G3756	PRT-N	『PRT-N』
055758	G2192	V-PAI-1S	『V-PAI-1S』
055759	G235	CONJ	『CONJ』
055760	G5091	V-PAI-1S	『V-PAI-1S』
055761	G3588	T-ASM	『T-ASM』
055762	G3962	N-ASM	『N-ASM』
055763	G1473	P-1GS	『P-1GS』
055764	G2532	CONJ	『CONJ』
055765	G4771	P-2NP	『P-2NP』
055766	G818	V-PAI-2P	『V-PAI-2P』
055767	G1473	P-1AS	『P-1AS』
055768	G1473	P-1NS	『P-1NS』
055769	G1161	CONJ	『CONJ』
055770	G3756	PRT-N	『PRT-N』
055771	G2212	V-PAI-1S	『V-PAI-1S』
055772	G3588	T-ASF	『T-ASF』
055773	G1391	N-ASF	『N-ASF』
055774	G1473	P-1GS	『P-1GS』
055775	G1510	V-PAI-3S	『V-PAI-3S』
055776	G3588	T-NSM	『T-NSM』
055777	G2212	V-PAP-NSM	『V-PAP-NSM』
055778	G2532	CONJ	『CONJ』
055779	G2919	V-PAP-NSM	『V-PAP-NSM』
055780	G281	HEB	『HEB』
055781	G281	HEB	『HEB』
055782	G3004	V-PAI-1S	『V-PAI-1S』
055783	G4771	P-2DP	『P-2DP』
055784	G1437	CONJ	『CONJ』
055785	G5100	X-NSM	『X-NSM』
055786	G3588	T-ASM	『T-ASM』
055787	G1699	S-1SASM	『S-1SASM』
055788	G3056	N-ASM	『N-ASM』
055789	G5083	V-AAS-3S	『V-AAS-3S』
055790	G2288	N-ASM	『N-ASM』
055791	G3756	PRT-N	『PRT-N』
055792	G3361	PRT-N	『PRT-N』
055793	G2334	V-AAS-3S	『V-AAS-3S』
055794	G1519	PREP	『PREP』
055795	G3588	T-ASM	『T-ASM』
055796	G165	N-ASM	『N-ASM』
055797	G2036	V-2AAI-3P	『V-2AAI-3P』
055798	G3767	CONJ	『CONJ』
055799	G846	P-DSM	『P-DSM』
055800	G3588	T-NPM	『T-NPM』
055801	G2453	A-NPM-PG	『A-NPM-PG』
055802	G3568	ADV	『ADV』
055803	G1097	V-RAI-1P	『V-RAI-1P』
055804	G3754	CONJ	『CONJ』
055805	G1140	N-ASN	『N-ASN』
055806	G2192	V-PAI-2S	『V-PAI-2S』
055807	G11	N-NSM-P	『N-NSM-P』
055808	G599	V-2AAI-3S	『V-2AAI-3S』
055809	G2532	CONJ	『CONJ』
055810	G3588	T-NPM	『T-NPM』
055811	G4396	N-NPM	『N-NPM』
055812	G2532	CONJ	『CONJ』
055813	G4771	P-2NS	『P-2NS』
055814	G3004	V-PAI-2S	『V-PAI-2S』
055815	G1437	CONJ	『CONJ』
055816	G5100	X-NSM	『X-NSM』
055817	G3588	T-ASM	『T-ASM』
055818	G3056	N-ASM	『N-ASM』
055819	G1473	P-1GS	『P-1GS』
055820	G5083	V-AAS-3S	『V-AAS-3S』
055821	G3756	PRT-N	『PRT-N』
055822	G3361	PRT-N	『PRT-N』
055823	G1089	V-ADS-3S	『V-ADS-3S』
055824	G2288	N-GSM	『N-GSM』
055825	G1519	PREP	『PREP』
055826	G3588	T-ASM	『T-ASM』
055827	G165	N-ASM	『N-ASM』
055828	G3361	PRT	『PRT』
055829	G4771	P-2NS	『P-2NS』
055830	G3173	A-NSM-C	『A-NSM-C』
055831	G1510	V-PAI-2S	『V-PAI-2S』
055832	G3588	T-GSM	『T-GSM』
055833	G3962	N-GSM	『N-GSM』
055834	G1473	P-1GP	『P-1GP』
055835	G11	N-GSM-P	『N-GSM-P』
055836	G3748	R-NSM	『R-NSM』
055837	G599	V-2AAI-3S	『V-2AAI-3S』
055838	G2532	CONJ	『CONJ』
055839	G3588	T-NPM	『T-NPM』
055840	G4396	N-NPM	『N-NPM』
055841	G599	V-2AAI-3P	『V-2AAI-3P』
055842	G5101	I-ASM	『I-ASM』
055843	G4572	F-2ASM	『F-2ASM』
055844	G4160	V-PAI-2S	『V-PAI-2S』
055845	G611	V-ADI-3S	『V-ADI-3S』
055846	G2424	N-NSM-P	『N-NSM-P』
055847	G1437	CONJ	『CONJ』
055848	G1473	P-1NS	『P-1NS』
055849	G1392	V-AAS-1S	『V-AAS-1S』
055850	G1683	F-1ASM	『F-1ASM』
055851	G3588	T-NSF	『T-NSF』
055852	G1391	N-NSF	『N-NSF』
055853	G1473	P-1GS	『P-1GS』
055854	G3762	A-NSN	『A-NSN』
055855	G1510	V-PAI-3S	『V-PAI-3S』
055856	G1510	V-PAI-3S	『V-PAI-3S』
055857	G3588	T-NSM	『T-NSM』
055858	G3962	N-NSM	『N-NSM』
055859	G1473	P-1GS	『P-1GS』
055860	G3588	T-NSM	『T-NSM』
055861	G1392	V-PAP-NSM	『V-PAP-NSM』
055862	G1473	P-1AS	『P-1AS』
055863	G3739	R-ASM	『R-ASM』
055864	G4771	P-2NP	『P-2NP』
055865	G3004	V-PAI-2P	『V-PAI-2P』
055866	G3754	CONJ	『CONJ』
055867	G2316	N-NSM	『N-NSM』
055868	G1473	P-1GP	『P-1GP』
055869	G1510	V-PAI-3S	『V-PAI-3S』
055870	G2532	CONJ	『CONJ』
055871	G3756	PRT-N	『PRT-N』
055872	G1097	V-RAI-2P	『V-RAI-2P』
055873	G846	P-ASM	『P-ASM』
055874	G1473	P-1NS	『P-1NS』
055875	G1161	CONJ	『CONJ』
055876	G1492	V-RAI-1S	『V-RAI-1S』
055877	G846	P-ASM	『P-ASM』
055878	G2579	CONJ	『CONJ』
055879	G2036	V-2AAS-1S	『V-2AAS-1S』
055880	G3754	CONJ	『CONJ』
055881	G3756	PRT-N	『PRT-N』
055882	G1492	V-RAI-1S	『V-RAI-1S』
055883	G846	P-ASM	『P-ASM』
055884	G1510	V-FDI-1S	『V-FDI-1S』
055885	G3664	A-NSM	『A-NSM』
055886	G4771	P-2DP	『P-2DP』
055887	G5583	N-NSM	『N-NSM』
055888	G235	CONJ	『CONJ』
055889	G1492	V-RAI-1S	『V-RAI-1S』
055890	G846	P-ASM	『P-ASM』
055891	G2532	CONJ	『CONJ』
055892	G3588	T-ASM	『T-ASM』
055893	G3056	N-ASM	『N-ASM』
055894	G846	P-GSM	『P-GSM』
055895	G5083	V-PAI-1S	『V-PAI-1S』
055896	G11	N-NSM-P	『N-NSM-P』
055897	G3588	T-NSM	『T-NSM』
055898	G3962	N-NSM	『N-NSM』
055899	G4771	P-2GP	『P-2GP』
055900	G21	V-ADI-3S	『V-ADI-3S』
055901	G2443	CONJ	『CONJ』
055902	G1492	V-2AAS-3S	『V-2AAS-3S』
055903	G3588	T-ASF	『T-ASF』
055904	G2250	N-ASF	『N-ASF』
055905	G3588	T-ASF	『T-ASF』
055906	G1699	S-1SASF	『S-1SASF』
055907	G2532	CONJ	『CONJ』
055908	G1492	V-2AAI-3S	『V-2AAI-3S』
055909	G2532	CONJ	『CONJ』
055910	G5463	V-2AOI-3S	『V-2AOI-3S』
055911	G2036	V-2AAI-3P	『V-2AAI-3P』
055912	G3767	CONJ	『CONJ』
055913	G3588	T-NPM	『T-NPM』
055914	G2453	A-NPM-PG	『A-NPM-PG』
055915	G4314	PREP	『PREP』
055916	G846	P-ASM	『P-ASM』
055917	G4004	A-APN-NUI	『A-APN-NUI』
055918	G2094	N-APN	『N-APN』
055919	G3768	ADV	『ADV』
055920	G2192	V-PAI-2S	『V-PAI-2S』
055921	G2532	CONJ	『CONJ』
055922	G11	N-ASM-P	『N-ASM-P』
055923	G3708	V-RAI-2S	『V-RAI-2S』
055924	G2036	V-2AAI-3S	『V-2AAI-3S』
055925	G846	P-DPM	『P-DPM』
055926	G2424	N-NSM-P	『N-NSM-P』
055927	G281	HEB	『HEB』
055928	G281	HEB	『HEB』
055929	G3004	V-PAI-1S	『V-PAI-1S』
055930	G4771	P-2DP	『P-2DP』
055931	G4250	CONJ	『CONJ』
055932	G11	N-ASM-P	『N-ASM-P』
055933	G1096	V-2ADN	『V-2ADN』
055934	G1473	P-1NS	『P-1NS』
055935	G1510	V-PAI-1S	『V-PAI-1S』
055936	G142	V-AAI-3P	『V-AAI-3P』
055937	G3767	CONJ	『CONJ』
055938	G3037	N-APM	『N-APM』
055939	G2443	CONJ	『CONJ』
055940	G906	V-2AAS-3P	『V-2AAS-3P』
055941	G1909	PREP	『PREP』
055942	G846	P-ASM	『P-ASM』
055943	G2424	N-NSM-P	『N-NSM-P』
055944	G1161	CONJ	『CONJ』
055945	G2928	V-2API-3S	『V-2API-3S』
055946	G2532	CONJ	『CONJ』
055947	G1831	V-2AAI-3S	『V-2AAI-3S』
055948	G1537	PREP	『PREP』
055949	G3588	T-GSN	『T-GSN』
055950	G2411	N-GSN	『N-GSN』
055951	G2532	CONJ	『CONJ』
055952	G3855	V-PAP-NSM	『V-PAP-NSM』
055953	G1492	V-2AAI-3S	『V-2AAI-3S』
055954	G444	N-ASM	『N-ASM』
055955	G5185	A-ASM	『A-ASM』
055956	G1537	PREP	『PREP』
055957	G1079	N-GSF	『N-GSF』
055958	G2532	CONJ	『CONJ』
055959	G2065	V-AAI-3P	『V-AAI-3P』
055960	G846	P-ASM	『P-ASM』
055961	G3588	T-NPM	『T-NPM』
055962	G3101	N-NPM	『N-NPM』
055963	G846	P-GSM	『P-GSM』
055964	G3004	V-PAP-NPM	『V-PAP-NPM』
055965	G4461	HEB-T	『HEB-T』
055966	G5101	I-NSM	『I-NSM』
055967	G264	V-2AAI-3S	『V-2AAI-3S』
055968	G3778	D-NSM	『D-NSM』
055969	G2228	CONJ	『CONJ』
055970	G3588	T-NPM	『T-NPM』
055971	G1118	N-NPM	『N-NPM』
055972	G846	P-GSM	『P-GSM』
055973	G2443	CONJ	『CONJ』
055974	G5185	A-NSM	『A-NSM』
055975	G1080	V-APS-3S	『V-APS-3S』
055976	G611	V-ADI-3S	『V-ADI-3S』
055977	G2424	N-NSM-P	『N-NSM-P』
055978	G3777	CONJ-N	『CONJ-N』
055979	G3778	D-NSM	『D-NSM』
055980	G264	V-2AAI-3S	『V-2AAI-3S』
055981	G3777	CONJ-N	『CONJ-N』
055982	G3588	T-NPM	『T-NPM』
055983	G1118	N-NPM	『N-NPM』
055984	G846	P-GSM	『P-GSM』
055985	G235	CONJ	『CONJ』
055986	G2443	CONJ	『CONJ』
055987	G5319	V-APS-3S	『V-APS-3S』
055988	G3588	T-NPN	『T-NPN』
055989	G2041	N-NPN	『N-NPN』
055990	G3588	T-GSM	『T-GSM』
055991	G2316	N-GSM	『N-GSM』
055992	G1722	PREP	『PREP』
055993	G846	P-DSM	『P-DSM』
055994	G1473	P-1AP	『P-1AP』
055995	G1210	V-PAI-3S	『V-PAI-3S』
055996	G2038	V-PNN	『V-PNN』
055997	G3588	T-APN	『T-APN』
055998	G2041	N-APN	『N-APN』
055999	G3588	T-GSM	『T-GSM』
056000	G3992	V-AAP-GSM	『V-AAP-GSM』
056001	G1473	P-1AS	『P-1AS』
056002	G2193	CONJ	『CONJ』
056003	G2250	N-NSF	『N-NSF』
056004	G1510	V-PAI-3S	『V-PAI-3S』
056005	G2064	V-PNI-3S	『V-PNI-3S』
056006	G3571	N-NSF	『N-NSF』
056007	G3753	ADV	『ADV』
056008	G3762	A-NSM	『A-NSM』
056009	G1410	V-PNI-3S	『V-PNI-3S』
056010	G2038	V-PNN	『V-PNN』
056011	G3752	CONJ	『CONJ』
056012	G1722	PREP	『PREP』
056013	G3588	T-DSM	『T-DSM』
056014	G2889	N-DSM	『N-DSM』
056015	G1510	V-PAS-1S	『V-PAS-1S』
056016	G5457	N-NSN	『N-NSN』
056017	G1510	V-PAI-1S	『V-PAI-1S』
056018	G3588	T-GSM	『T-GSM』
056019	G2889	N-GSM	『N-GSM』
056020	G3778	D-APN	『D-APN』
056021	G2036	V-2AAP-NSM	『V-2AAP-NSM』
056022	G4429	V-AAI-3S	『V-AAI-3S』
056023	G5476	ADV	『ADV』
056024	G2532	CONJ	『CONJ』
056025	G4160	V-AAI-3S	『V-AAI-3S』
056026	G4081	N-ASM	『N-ASM』
056027	G1537	PREP	『PREP』
056028	G3588	T-GSN	『T-GSN』
056029	G4427	N-GSN	『N-GSN』
056030	G2532	CONJ	『CONJ』
056031	G2025	V-AAI-3S	『V-AAI-3S』
056032	G846	P-GSM	『P-GSM』
056033	G3588	T-ASM	『T-ASM』
056034	G4081	N-ASM	『N-ASM』
056035	G1909	PREP	『PREP』
056036	G3588	T-APM	『T-APM』
056037	G3788	N-APM	『N-APM』
056038	G2532	CONJ	『CONJ』
056039	G2036	V-2AAI-3S	『V-2AAI-3S』
056040	G846	P-DSM	『P-DSM』
056041	G5217	V-PAM-2S	『V-PAM-2S』
056042	G3538	V-AMM-2S	『V-AMM-2S』
056043	G1519	PREP	『PREP』
056044	G3588	T-ASF	『T-ASF』
056045	G2861	N-ASF	『N-ASF』
056046	G3588	T-GSM	『T-GSM』
056047	G4611	N-GSM-L	『N-GSM-L』
056048	G3739	R-NSN	『R-NSN』
056049	G2059	V-PPI-3S	『V-PPI-3S』
056050	G649	V-RPP-NSM	『V-RPP-NSM』
056051	G565	V-2AAI-3S	『V-2AAI-3S』
056052	G3767	CONJ	『CONJ』
056053	G2532	CONJ	『CONJ』
056054	G3538	V-AMI-3S	『V-AMI-3S』
056055	G2532	CONJ	『CONJ』
056056	G2064	V-2AAI-3S	『V-2AAI-3S』
056057	G991	V-PAP-NSM	『V-PAP-NSM』
056058	G3588	T-NPM	『T-NPM』
056059	G3767	CONJ	『CONJ』
056060	G1069	N-NPM	『N-NPM』
056061	G2532	CONJ	『CONJ』
056062	G3588	T-NPM	『T-NPM』
056063	G2334	V-PAP-NPM	『V-PAP-NPM』
056064	G846	P-ASM	『P-ASM』
056065	G3588	T-ASN	『T-ASN』
056066	G4387	A-ASN-C	『A-ASN-C』
056067	G3754	CONJ	『CONJ』
056068	G6075	N-NSM	『N-NSM』
056069	G1510	V-IAI-3S	『V-IAI-3S』
056070	G3004	V-IAI-3P	『V-IAI-3P』
056071	G3780	PRT-N	『PRT-N』
056072	G3778	D-NSM	『D-NSM』
056073	G1510	V-PAI-3S	『V-PAI-3S』
056074	G3588	T-NSM	『T-NSM』
056075	G2521	V-PNP-NSM	『V-PNP-NSM』
056076	G2532	CONJ	『CONJ』
056077	G4319	V-PAP-NSM	『V-PAP-NSM』
056078	G243	A-NPM	『A-NPM』
056079	G3004	V-IAI-3P	『V-IAI-3P』
056080	G3754	CONJ	『CONJ』
056081	G3778	D-NSM	『D-NSM』
056082	G1510	V-PAI-3S	『V-PAI-3S』
056083	G243	A-NPM	『A-NPM』
056084	G3004	V-IAI-3P	『V-IAI-3P』
056085	G3780	PRT-N	『PRT-N』
056086	G235	CONJ	『CONJ』
056087	G3664	A-NSM	『A-NSM』
056088	G846	P-DSM	『P-DSM』
056089	G1510	V-PAI-3S	『V-PAI-3S』
056090	G1565	D-NSM	『D-NSM』
056091	G3004	V-IAI-3S	『V-IAI-3S』
056092	G3754	CONJ	『CONJ』
056093	G1473	P-1NS	『P-1NS』
056094	G1510	V-PAI-1S	『V-PAI-1S』
056095	G3004	V-IAI-3P	『V-IAI-3P』
056096	G3767	CONJ	『CONJ』
056097	G846	P-DSM	『P-DSM』
056098	G4459	ADV	『ADV』
056099	G3767	CONJ	『CONJ』
056100	G455	V-API-3P	『V-API-3P』
056101	G4771	P-2GS	『P-2GS』
056102	G3588	T-NPM	『T-NPM』
056103	G3788	N-NPM	『N-NPM』
056104	G611	V-ADI-3S	『V-ADI-3S』
056105	G1565	D-NSM	『D-NSM』
056106	G3588	T-NSM	『T-NSM』
056107	G444	N-NSM	『N-NSM』
056108	G3588	T-NSM	『T-NSM』
056109	G3004	V-PPP-NSM	『V-PPP-NSM』
056110	G2424	N-NSM-P	『N-NSM-P』
056111	G4081	N-ASM	『N-ASM』
056112	G4160	V-AAI-3S	『V-AAI-3S』
056113	G2532	CONJ	『CONJ』
056114	G2025	V-AAI-3S	『V-AAI-3S』
056115	G1473	P-1GS	『P-1GS』
056116	G3588	T-APM	『T-APM』
056117	G3788	N-APM	『N-APM』
056118	G2532	CONJ	『CONJ』
056119	G2036	V-2AAI-3S	『V-2AAI-3S』
056120	G1473	P-1DS	『P-1DS』
056121	G3754	CONJ	『CONJ』
056122	G5217	V-PAM-2S	『V-PAM-2S』
056123	G1519	PREP	『PREP』
056124	G3588	T-ASM	『T-ASM』
056125	G4611	N-ASM-L	『N-ASM-L』
056126	G2532	CONJ	『CONJ』
056127	G3538	V-AMM-2S	『V-AMM-2S』
056128	G565	V-2AAP-NSM	『V-2AAP-NSM』
056129	G3767	CONJ	『CONJ』
056130	G2532	CONJ	『CONJ』
056131	G3538	V-AMP-NSM	『V-AMP-NSM』
056132	G308	V-AAI-1S	『V-AAI-1S』
056133	G2532	CONJ	『CONJ』
056134	G2036	V-2AAI-3P	『V-2AAI-3P』
056135	G846	P-DSM	『P-DSM』
056136	G4226	ADV-I	『ADV-I』
056137	G1510	V-PAI-3S	『V-PAI-3S』
056138	G1565	D-NSM	『D-NSM』
056139	G3004	V-PAI-3S	『V-PAI-3S』
056140	G3756	PRT-N	『PRT-N』
056141	G1492	V-RAI-1S	『V-RAI-1S』
056142	G71	V-PAI-3P	『V-PAI-3P』
056143	G846	P-ASM	『P-ASM』
056144	G4314	PREP	『PREP』
056145	G3588	T-APM	『T-APM』
056146	G5330	N-APM-T	『N-APM-T』
056147	G3588	T-ASM	『T-ASM』
056148	G4218	PRT	『PRT』
056149	G5185	A-ASM	『A-ASM』
056150	G1510	V-IAI-3S	『V-IAI-3S』
056151	G1161	CONJ	『CONJ』
056152	G4521	N-NSN	『N-NSN』
056153	G1722	PREP	『PREP』
056154	G3739	R-DSF	『R-DSF』
056155	G2250	N-DSF	『N-DSF』
056156	G3588	T-ASM	『T-ASM』
056157	G4081	N-ASM	『N-ASM』
056158	G4160	V-AAI-3S	『V-AAI-3S』
056159	G3588	T-NSM	『T-NSM』
056160	G2424	N-NSM-P	『N-NSM-P』
056161	G2532	CONJ	『CONJ』
056162	G455	V-AAI-3S	『V-AAI-3S』
056163	G846	P-GSM	『P-GSM』
056164	G3588	T-APM	『T-APM』
056165	G3788	N-APM	『N-APM』
056166	G3825	ADV	『ADV』
056167	G3767	CONJ	『CONJ』
056168	G2065	V-IAI-3P	『V-IAI-3P』
056169	G846	P-ASM	『P-ASM』
056170	G2532	CONJ	『CONJ』
056171	G3588	T-NPM	『T-NPM』
056172	G5330	N-NPM-T	『N-NPM-T』
056173	G4459	ADV	『ADV』
056174	G308	V-AAI-3S	『V-AAI-3S』
